event_id,timestamp,session_id,source_ip,destination_asset,protocol,port,action,bytes_out_mb,connection_count,unusual_protocol
FW_1115,2026-08-01 06:44:00,VPN_0316,10.20.3.217,OT_09,MODBUS,502,ALLOW,12.83,8,0
FW_0658,2026-08-01 06:46:00,VPN_1532,10.20.9.187,OT_04,MODBUS,502,ALLOW,11.99,7,0
FW_0718,2026-08-01 06:59:00,VPN_0735,10.20.10.89,OT_04,SSH,22,ALLOW,1.04,6,0
FW_0014,2026-08-01 07:40:00,VPN_0316,10.20.3.217,OT_09,HTTPS,443,ALLOW,2.62,9,0
FW_0122,2026-08-01 08:12:00,VPN_0735,10.20.10.89,OT_04,HTTPS,443,ALLOW,2.17,6,0
FW_1786,2026-08-01 08:45:00,VPN_1848,10.20.9.79,OT_03,SSH,22,ALLOW,2.82,8,0
FW_1558,2026-08-01 08:50:00,VPN_1682,10.20.10.125,OT_01,SSH,22,ALLOW,3.93,7,0
FW_0441,2026-08-01 09:08:00,VPN_1682,10.20.10.125,OT_01,SSH,22,ALLOW,8.86,8,0
FW_1466,2026-08-01 09:26:00,VPN_1848,10.20.9.79,OT_03,MODBUS,502,ALLOW,1.74,6,0
FW_0127,2026-08-01 09:41:00,VPN_1848,10.20.9.79,OT_03,HTTPS,443,ALLOW,0.82,10,0
FW_1042,2026-08-01 10:14:00,VPN_0206,10.20.8.161,OT_08,MODBUS,502,ALLOW,2.37,9,0
FW_1793,2026-08-01 10:31:00,VPN_0033,10.20.5.58,OT_02,MODBUS,502,ALLOW,0.87,7,0
FW_0761,2026-08-01 10:31:00,VPN_0206,10.20.8.161,OT_08,HTTPS,443,ALLOW,4.13,13,0
FW_0533,2026-08-01 10:56:00,VPN_0206,10.20.8.161,OT_08,MODBUS,502,ALLOW,10.36,9,0
FW_1515,2026-08-01 11:15:00,VPN_1966,10.20.4.89,OT_04,MODBUS,502,ALLOW,5.31,5,0
FW_0662,2026-08-01 12:35:00,VPN_1867,10.20.9.107,OT_05,MODBUS,502,ALLOW,3.61,7,0
FW_1301,2026-08-01 12:39:00,VPN_0626,198.51.100.37,OT_13,MODBUS,502,ALLOW,89.01,35,0
FW_0754,2026-08-01 12:46:00,VPN_1867,10.20.9.107,OT_05,MODBUS,502,ALLOW,2.01,8,0
FW_1249,2026-08-01 13:47:00,VPN_1323,10.20.3.110,OT_12,RDP,3389,ALLOW,1.74,6,0
FW_1321,2026-08-01 13:55:00,VPN_1323,10.20.3.110,OT_12,MODBUS,502,ALLOW,2.4,4,0
FW_0954,2026-08-01 14:16:00,VPN_1323,10.20.3.110,OT_12,HTTPS,443,ALLOW,3.07,5,0
FW_0676,2026-08-01 14:26:00,VPN_0111,10.20.3.107,OT_11,HTTPS,443,ALLOW,18.35,12,0
FW_1782,2026-08-01 15:21:00,VPN_0708,198.51.100.199,OT_03,MODBUS,502,ALLOW,11.07,38,0
FW_1390,2026-08-01 15:38:00,VPN_0708,198.51.100.199,OT_03,SMB,445,DENY,15.32,20,1
FW_1934,2026-08-01 15:39:00,VPN_0708,198.51.100.199,OT_03,HTTPS,443,ALLOW,26.83,30,0
FW_0680,2026-08-01 15:39:00,VPN_0392,198.51.100.217,OT_11,SMB,445,ALLOW,31.51,32,1
FW_0237,2026-08-01 15:50:00,VPN_1122,10.20.3.112,OT_01,MODBUS,502,ALLOW,1.75,11,0
FW_0968,2026-08-01 15:56:00,VPN_0139,10.20.11.8,OT_07,MODBUS,502,ALLOW,2.55,8,0
FW_1740,2026-08-01 16:08:00,VPN_0982,198.51.100.3,OT_12,SMB,445,DENY,23.79,30,1
FW_0844,2026-08-01 16:29:00,VPN_1122,10.20.3.112,OT_01,TELNET,23,DENY,10.43,8,1
FW_1332,2026-08-01 17:20:00,VPN_1479,10.20.4.86,OT_12,MODBUS,502,ALLOW,1.8,9,0
FW_1554,2026-08-01 17:27:00,VPN_0883,10.20.1.222,OT_06,HTTPS,443,ALLOW,2.02,9,0
FW_1547,2026-08-01 17:28:00,VPN_0883,10.20.1.222,OT_06,SSH,22,ALLOW,1.24,8,0
FW_1994,2026-08-01 17:39:00,VPN_0883,10.20.1.222,OT_06,MODBUS,502,ALLOW,1.66,4,0
FW_0914,2026-08-01 17:41:00,VPN_0066,10.20.10.125,OT_02,HTTPS,443,ALLOW,13.34,7,0
FW_1781,2026-08-01 17:59:00,VPN_0616,10.20.10.23,OT_08,MODBUS,502,ALLOW,2.6,6,0
FW_1326,2026-08-01 18:06:00,VPN_0883,10.20.1.222,OT_06,HTTPS,443,ALLOW,1.65,5,0
FW_0322,2026-08-01 18:36:00,VPN_0617,10.20.6.196,OT_10,HTTPS,443,ALLOW,6.24,15,0
FW_0907,2026-08-01 19:35:00,VPN_0080,10.20.5.41,OT_04,HTTPS,443,ALLOW,3.19,8,0
FW_1675,2026-08-01 19:52:00,VPN_0602,10.20.3.236,OT_11,SSH,22,ALLOW,0.82,8,0
FW_0129,2026-08-01 20:02:00,VPN_0080,10.20.5.41,OT_04,HTTPS,443,ALLOW,18.2,5,0
FW_1862,2026-08-01 20:06:00,VPN_0602,10.20.3.236,OT_11,HTTPS,443,ALLOW,0.92,6,0
FW_1167,2026-08-01 20:55:00,VPN_0602,10.20.3.236,OT_11,HTTPS,443,ALLOW,1.39,11,0
FW_0157,2026-08-01 22:07:00,VPN_0474,10.20.9.30,OT_13,SSH,22,ALLOW,5.31,13,0
FW_1182,2026-08-01 22:27:00,VPN_0408,10.20.3.121,OT_13,MODBUS,502,ALLOW,1.0,11,0
FW_0753,2026-08-01 22:53:00,VPN_1538,10.20.2.191,OT_06,RDP,3389,ALLOW,24.41,10,0
FW_1194,2026-08-01 23:05:00,VPN_0474,10.20.9.30,OT_13,HTTPS,443,ALLOW,2.11,13,0
FW_0146,2026-08-01 23:21:00,VPN_0252,10.20.4.231,OT_06,HTTPS,443,ALLOW,12.82,12,0
FW_1333,2026-08-01 23:29:00,VPN_0789,10.20.7.181,OT_04,MODBUS,502,ALLOW,2.95,6,0
FW_1314,2026-08-01 23:37:00,VPN_0548,10.20.7.68,OT_08,HTTPS,443,ALLOW,0.88,7,0
FW_1555,2026-08-01 23:39:00,VPN_0674,10.20.6.80,OT_02,RDP,3389,ALLOW,2.89,4,0
FW_0596,2026-08-02 00:15:00,VPN_0321,10.20.12.17,OT_12,MODBUS,502,ALLOW,3.26,5,0
FW_1728,2026-08-02 00:34:00,VPN_1597,198.51.100.115,OT_09,TELNET,23,ALLOW,32.8,41,1
FW_1069,2026-08-02 00:39:00,VPN_0233,10.20.1.66,OT_06,MODBUS,502,ALLOW,9.48,10,0
FW_0285,2026-08-02 00:54:00,VPN_0097,10.20.11.84,OT_12,SSH,22,ALLOW,2.57,7,0
FW_1768,2026-08-02 01:42:00,VPN_0233,10.20.1.66,OT_06,SSH,22,ALLOW,6.1,9,0
FW_0011,2026-08-02 01:59:00,VPN_0097,10.20.11.84,OT_12,SSH,22,ALLOW,6.35,9,0
FW_0164,2026-08-02 02:09:00,VPN_1244,10.20.7.15,OT_07,MODBUS,502,ALLOW,2.16,6,0
FW_1684,2026-08-02 02:23:00,VPN_0523,10.20.4.174,OT_14,MODBUS,502,ALLOW,5.71,10,0
FW_1378,2026-08-02 02:25:00,VPN_1244,10.20.7.15,OT_07,MODBUS,502,ALLOW,0.82,9,0
FW_1785,2026-08-02 02:43:00,VPN_1244,10.20.7.15,OT_07,HTTPS,443,ALLOW,10.84,3,0
FW_0300,2026-08-02 03:02:00,VPN_0640,10.20.3.204,OT_15,MODBUS,502,ALLOW,7.73,9,0
FW_0743,2026-08-02 03:09:00,VPN_1879,10.20.11.78,OT_11,SSH,22,ALLOW,1.42,6,0
FW_0308,2026-08-02 03:46:00,VPN_0286,10.20.3.222,OT_12,HTTPS,443,ALLOW,12.2,7,0
FW_1231,2026-08-02 04:26:00,VPN_1879,10.20.11.78,OT_11,MODBUS,502,ALLOW,4.13,9,0
FW_1235,2026-08-02 04:31:00,VPN_0517,10.20.1.26,OT_07,MODBUS,502,ALLOW,7.19,6,0
FW_0817,2026-08-02 04:46:00,VPN_0517,10.20.1.26,OT_07,HTTPS,443,ALLOW,11.65,10,0
FW_1875,2026-08-02 04:49:00,VPN_1938,198.51.100.196,OT_06,HTTPS,443,ALLOW,53.66,26,0
FW_0354,2026-08-02 04:54:00,VPN_0517,10.20.1.26,OT_07,MODBUS,502,ALLOW,3.91,10,0
FW_0993,2026-08-02 04:57:00,VPN_0286,10.20.3.222,OT_12,SSH,22,ALLOW,4.49,6,0
FW_0741,2026-08-02 05:03:00,VPN_0181,10.20.3.70,OT_07,MODBUS,502,ALLOW,3.35,9,0
FW_1827,2026-08-02 05:05:00,VPN_1938,198.51.100.196,OT_06,FTP,21,DENY,25.99,31,1
FW_1180,2026-08-02 05:08:00,VPN_0433,10.20.4.18,OT_04,MODBUS,502,ALLOW,3.09,8,0
FW_1588,2026-08-02 05:13:00,VPN_0433,10.20.4.18,OT_04,MODBUS,502,ALLOW,1.83,12,0
FW_1752,2026-08-02 05:24:00,VPN_0433,10.20.4.18,OT_04,MODBUS,502,ALLOW,1.83,11,0
FW_0719,2026-08-02 05:27:00,VPN_1938,198.51.100.196,OT_06,MODBUS,502,ALLOW,36.87,36,0
FW_0069,2026-08-02 05:33:00,VPN_1938,198.51.100.196,OT_06,FTP,21,DENY,25.3,35,1
FW_1813,2026-08-02 05:38:00,VPN_0322,10.20.5.86,OT_05,MODBUS,502,ALLOW,8.32,11,0
FW_1968,2026-08-02 06:07:00,VPN_0433,10.20.4.18,OT_04,SSH,22,ALLOW,8.78,9,0
FW_0544,2026-08-02 06:24:00,VPN_0322,10.20.5.86,OT_05,HTTPS,443,ALLOW,8.55,6,0
FW_0600,2026-08-02 06:27:00,VPN_0433,10.20.4.18,OT_04,MODBUS,502,ALLOW,2.98,15,0
FW_1306,2026-08-02 06:50:00,VPN_1028,10.20.12.126,OT_08,HTTPS,443,ALLOW,1.57,5,0
FW_1334,2026-08-02 08:43:00,VPN_1440,10.20.6.77,OT_13,MODBUS,502,ALLOW,5.42,12,0
FW_1342,2026-08-02 08:49:00,VPN_1304,10.20.4.144,OT_11,MODBUS,502,ALLOW,4.31,11,0
FW_1667,2026-08-02 08:49:00,VPN_0122,10.20.12.133,OT_09,SSH,22,ALLOW,3.98,8,0
FW_0995,2026-08-02 08:50:00,VPN_0122,10.20.12.133,OT_09,HTTPS,443,ALLOW,2.17,9,0
FW_0683,2026-08-02 09:16:00,VPN_0930,10.20.8.244,OT_10,HTTPS,443,ALLOW,11.75,12,0
FW_0331,2026-08-02 09:51:00,VPN_1304,10.20.4.144,OT_11,MODBUS,502,ALLOW,0.76,10,0
FW_1885,2026-08-02 09:52:00,VPN_0930,10.20.8.244,OT_10,MODBUS,502,ALLOW,3.79,10,0
FW_1195,2026-08-02 09:57:00,VPN_0191,10.20.9.127,OT_02,MODBUS,502,ALLOW,1.38,15,0
FW_0191,2026-08-02 10:58:00,VPN_1601,198.51.100.142,OT_01,MODBUS,502,ALLOW,19.73,38,0
FW_1297,2026-08-02 10:59:00,VPN_0109,10.20.1.50,OT_14,MODBUS,502,ALLOW,6.92,9,0
FW_1644,2026-08-02 11:34:00,VPN_1246,10.20.5.99,OT_08,MODBUS,502,ALLOW,2.14,9,0
FW_1422,2026-08-02 11:53:00,VPN_1830,10.20.8.62,OT_05,HTTPS,443,ALLOW,4.84,8,0
FW_1107,2026-08-02 12:41:00,VPN_1266,10.20.12.106,OT_13,MODBUS,502,ALLOW,2.99,7,0
FW_0883,2026-08-02 12:50:00,VPN_1145,10.20.1.70,OT_13,MODBUS,502,ALLOW,2.94,3,0
FW_0721,2026-08-02 14:04:00,VPN_1447,10.20.6.179,OT_05,HTTPS,443,ALLOW,14.94,7,0
FW_0857,2026-08-02 14:26:00,VPN_1303,10.20.11.56,OT_13,MODBUS,502,ALLOW,0.86,9,0
FW_1699,2026-08-02 14:31:00,VPN_1303,10.20.11.56,OT_13,HTTPS,443,ALLOW,3.91,6,0
FW_0742,2026-08-02 14:45:00,VPN_1447,10.20.6.179,OT_05,RDP,3389,ALLOW,5.57,10,0
FW_1550,2026-08-02 14:56:00,VPN_1537,10.20.11.92,OT_15,MODBUS,502,ALLOW,8.72,4,0
FW_0463,2026-08-02 15:11:00,VPN_1264,198.51.100.45,OT_01,HTTPS,443,ALLOW,67.38,49,0
FW_0101,2026-08-02 15:13:00,VPN_0347,10.20.12.213,OT_15,SSH,22,ALLOW,2.48,8,0
FW_1757,2026-08-02 15:45:00,VPN_1328,10.20.2.29,OT_07,SSH,22,ALLOW,8.71,8,0
FW_0395,2026-08-02 16:22:00,VPN_0055,198.51.100.34,OT_07,FTP,21,ALLOW,66.06,40,1
FW_0710,2026-08-02 17:50:00,VPN_0215,10.20.8.20,OT_06,MODBUS,502,ALLOW,14.19,12,0
FW_0195,2026-08-02 17:57:00,VPN_0215,10.20.8.20,OT_06,SSH,22,ALLOW,7.55,7,0
FW_1750,2026-08-02 18:51:00,VPN_1760,10.20.12.221,OT_01,MODBUS,502,ALLOW,1.18,12,0
FW_1741,2026-08-02 19:27:00,VPN_1902,10.20.9.43,OT_10,SSH,22,ALLOW,3.18,10,0
FW_1638,2026-08-02 19:32:00,VPN_0515,10.20.11.197,OT_01,SSH,22,ALLOW,5.94,5,0
FW_0074,2026-08-02 19:50:00,VPN_0515,10.20.11.197,OT_01,MODBUS,502,ALLOW,2.36,13,0
FW_1548,2026-08-02 19:51:00,VPN_0515,10.20.11.197,OT_01,HTTPS,443,ALLOW,1.72,11,0
FW_1805,2026-08-02 20:24:00,VPN_0919,10.20.8.91,OT_10,MODBUS,502,ALLOW,21.75,6,0
FW_1779,2026-08-02 20:45:00,VPN_0410,10.20.7.24,OT_14,HTTPS,443,ALLOW,6.99,9,0
FW_0896,2026-08-02 20:50:00,VPN_0774,198.51.100.46,OT_14,SSH,22,ALLOW,24.32,33,0
FW_0368,2026-08-02 21:20:00,VPN_0410,10.20.7.24,OT_14,SSH,22,ALLOW,4.13,5,0
FW_0162,2026-08-02 21:36:00,VPN_1104,10.20.12.210,OT_02,MODBUS,502,ALLOW,1.78,4,0
FW_1493,2026-08-02 22:48:00,VPN_0592,10.20.2.205,OT_01,RDP,3389,ALLOW,2.65,10,0
FW_1896,2026-08-02 23:23:00,VPN_1176,10.20.9.244,OT_03,MODBUS,502,ALLOW,2.79,9,0
FW_1947,2026-08-02 23:49:00,VPN_1476,10.20.8.13,OT_09,RDP,3389,ALLOW,0.81,6,0
FW_1336,2026-08-03 00:09:00,VPN_1741,10.20.11.28,OT_01,SSH,22,ALLOW,2.1,3,0
FW_0512,2026-08-03 00:43:00,VPN_0836,10.20.12.124,OT_11,HTTPS,443,ALLOW,1.43,5,0
FW_1278,2026-08-03 00:45:00,VPN_1741,10.20.11.28,OT_01,MODBUS,502,ALLOW,16.15,6,0
FW_1925,2026-08-03 00:53:00,VPN_0844,10.20.11.50,OT_12,MODBUS,502,ALLOW,7.5,6,0
FW_1438,2026-08-03 00:58:00,VPN_0844,10.20.11.50,OT_12,SSH,22,ALLOW,3.04,9,0
FW_0821,2026-08-03 01:32:00,VPN_0836,10.20.12.124,OT_11,MODBUS,502,ALLOW,1.09,11,0
FW_0336,2026-08-03 01:33:00,VPN_1049,10.20.12.238,OT_08,MODBUS,502,ALLOW,2.91,7,0
FW_0200,2026-08-03 01:51:00,VPN_0844,10.20.11.50,OT_12,HTTPS,443,ALLOW,2.63,7,0
FW_1849,2026-08-03 01:53:00,VPN_0740,10.20.3.243,OT_01,SSH,22,ALLOW,4.4,10,0
FW_0290,2026-08-03 02:30:00,VPN_1049,10.20.12.238,OT_08,MODBUS,502,ALLOW,4.36,17,0
FW_0306,2026-08-03 02:52:00,VPN_0740,10.20.3.243,OT_01,MODBUS,502,ALLOW,2.75,9,0
FW_1431,2026-08-03 03:46:00,VPN_0734,10.20.4.36,OT_10,MODBUS,502,ALLOW,8.87,6,0
FW_1796,2026-08-03 04:45:00,VPN_0734,10.20.4.36,OT_10,SSH,22,ALLOW,2.31,9,0
FW_1322,2026-08-03 05:07:00,VPN_1735,10.20.9.199,OT_15,HTTPS,443,ALLOW,4.19,5,0
FW_1604,2026-08-03 08:53:00,VPN_1085,198.51.100.160,OT_11,HTTPS,443,ALLOW,2.27,5,0
FW_0943,2026-08-03 09:11:00,VPN_1363,10.20.1.244,OT_11,HTTPS,443,ALLOW,52.27,7,0
FW_0388,2026-08-03 09:18:00,VPN_1363,10.20.1.244,OT_11,MODBUS,502,ALLOW,2.32,7,0
FW_0196,2026-08-03 09:25:00,VPN_1085,198.51.100.160,OT_11,MODBUS,502,ALLOW,2.73,9,0
FW_0353,2026-08-03 09:45:00,VPN_0552,10.20.10.24,OT_04,MODBUS,502,ALLOW,4.87,7,0
FW_1525,2026-08-03 09:50:00,VPN_1272,10.20.10.161,OT_06,HTTPS,443,ALLOW,1.25,10,0
FW_1382,2026-08-03 09:54:00,VPN_1171,10.20.7.46,OT_03,MODBUS,502,ALLOW,19.21,5,0
FW_0421,2026-08-03 10:09:00,VPN_0234,198.51.100.211,OT_15,SSH,22,ALLOW,16.32,35,0
FW_1744,2026-08-03 10:24:00,VPN_0552,10.20.10.24,OT_04,MODBUS,502,ALLOW,2.09,5,0
FW_0189,2026-08-03 12:56:00,VPN_1795,10.20.5.194,OT_10,RDP,3389,ALLOW,30.06,8,0
FW_0231,2026-08-03 13:23:00,VPN_1174,10.20.8.218,OT_09,HTTPS,443,ALLOW,8.53,8,0
FW_0297,2026-08-03 13:56:00,VPN_1168,10.20.4.48,OT_11,SSH,22,ALLOW,2.43,9,0
FW_1279,2026-08-03 14:22:00,VPN_1998,10.20.2.131,OT_04,RDP,3389,ALLOW,3.98,8,0
FW_1059,2026-08-03 14:30:00,VPN_1950,10.20.5.195,OT_13,MODBUS,502,ALLOW,12.29,7,0
FW_1072,2026-08-03 14:43:00,VPN_0725,10.20.2.39,OT_13,MODBUS,502,ALLOW,4.0,10,0
FW_0046,2026-08-03 14:53:00,VPN_0725,10.20.2.39,OT_13,HTTPS,443,ALLOW,2.11,5,0
FW_1683,2026-08-03 15:06:00,VPN_1892,10.20.11.124,OT_04,SSH,22,ALLOW,3.5,8,0
FW_1880,2026-08-03 15:23:00,VPN_0725,10.20.2.39,OT_13,HTTPS,443,ALLOW,2.01,9,0
FW_1284,2026-08-03 15:34:00,VPN_0657,10.20.5.116,OT_07,MODBUS,502,ALLOW,4.7,5,0
FW_1405,2026-08-03 16:37:00,VPN_1198,10.20.8.27,OT_13,RDP,3389,ALLOW,2.62,10,0
FW_1828,2026-08-03 16:56:00,VPN_0264,10.20.8.36,OT_07,MODBUS,502,ALLOW,1.36,7,0
FW_0004,2026-08-03 16:59:00,VPN_0264,10.20.8.36,OT_07,RDP,3389,ALLOW,3.16,9,0
FW_0654,2026-08-03 17:58:00,VPN_0216,10.20.5.23,OT_10,MODBUS,502,ALLOW,4.01,8,0
FW_0564,2026-08-03 19:02:00,VPN_1312,10.20.1.125,OT_05,MODBUS,502,ALLOW,1.96,5,0
FW_1625,2026-08-03 20:20:00,VPN_1042,10.20.8.45,OT_03,MODBUS,502,ALLOW,2.57,4,0
FW_1892,2026-08-03 20:23:00,VPN_1518,10.20.6.36,OT_06,SSH,22,ALLOW,16.89,8,0
FW_1429,2026-08-03 20:27:00,VPN_1530,198.51.100.183,OT_08,MODBUS,502,ALLOW,8.12,43,0
FW_1176,2026-08-03 20:49:00,VPN_1438,10.20.3.115,OT_14,HTTPS,443,ALLOW,7.33,11,0
FW_0830,2026-08-03 20:56:00,VPN_1438,10.20.3.115,OT_14,HTTPS,443,ALLOW,6.14,13,0
FW_0622,2026-08-03 21:06:00,VPN_1438,10.20.3.115,OT_14,FTP,21,ALLOW,2.58,4,1
FW_0362,2026-08-03 21:33:00,VPN_1973,10.20.1.32,OT_02,HTTPS,443,ALLOW,1.73,5,0
FW_1244,2026-08-03 21:42:00,VPN_0383,10.20.3.215,OT_06,MODBUS,502,ALLOW,0.83,11,0
FW_0062,2026-08-03 22:01:00,VPN_0383,10.20.3.215,OT_06,HTTPS,443,ALLOW,3.57,7,0
FW_0295,2026-08-03 22:19:00,VPN_1813,10.20.9.165,OT_06,MODBUS,502,ALLOW,12.37,6,0
FW_0916,2026-08-03 22:38:00,VPN_0383,10.20.3.215,OT_06,HTTPS,443,ALLOW,5.82,9,0
FW_1661,2026-08-03 22:54:00,VPN_1134,10.20.10.129,OT_06,HTTPS,443,ALLOW,5.54,7,0
FW_0752,2026-08-03 23:15:00,VPN_1807,10.20.8.139,OT_02,MODBUS,502,ALLOW,5.21,9,0
FW_0794,2026-08-03 23:36:00,VPN_1871,10.20.4.166,OT_08,MODBUS,502,ALLOW,5.18,4,0
FW_1904,2026-08-04 00:27:00,VPN_0971,10.20.3.10,OT_01,MODBUS,502,ALLOW,12.98,11,0
FW_1411,2026-08-04 00:48:00,VPN_1444,10.20.2.98,OT_13,MODBUS,502,ALLOW,1.4,11,0
FW_0837,2026-08-04 00:54:00,VPN_0778,10.20.6.40,OT_03,MODBUS,502,ALLOW,5.49,8,0
FW_0455,2026-08-04 00:58:00,VPN_1576,198.51.100.37,OT_04,SMB,445,ALLOW,26.15,31,1
FW_0543,2026-08-04 04:02:00,VPN_1388,10.20.9.218,OT_11,SSH,22,ALLOW,2.64,6,0
FW_1629,2026-08-04 04:11:00,VPN_1434,10.20.6.237,OT_03,MODBUS,502,ALLOW,1.6,5,0
FW_1618,2026-08-04 05:13:00,VPN_1519,10.20.3.198,OT_12,HTTPS,443,ALLOW,4.83,11,0
FW_0928,2026-08-04 05:57:00,VPN_1679,10.20.8.32,OT_10,HTTPS,443,ALLOW,1.34,8,0
FW_1337,2026-08-04 06:03:00,VPN_1519,10.20.3.198,OT_12,MODBUS,502,ALLOW,3.7,4,0
FW_0275,2026-08-04 06:23:00,VPN_1708,10.20.9.119,OT_12,MODBUS,502,ALLOW,7.38,6,0
FW_1711,2026-08-04 06:25:00,VPN_1155,10.20.2.219,OT_12,MODBUS,502,ALLOW,5.88,5,0
FW_0541,2026-08-04 06:38:00,VPN_1987,10.20.11.177,OT_12,MODBUS,502,ALLOW,5.23,9,0
FW_1879,2026-08-04 06:39:00,VPN_1708,10.20.9.119,OT_12,MODBUS,502,ALLOW,8.52,5,0
FW_0344,2026-08-04 07:08:00,VPN_1987,10.20.11.177,OT_12,MODBUS,502,ALLOW,1.45,9,0
FW_0355,2026-08-04 07:22:00,VPN_0958,10.20.6.25,OT_01,MODBUS,502,ALLOW,1.69,10,0
FW_1046,2026-08-04 07:33:00,VPN_0283,10.20.12.221,OT_15,HTTPS,443,ALLOW,4.73,10,0
FW_0751,2026-08-04 07:44:00,VPN_1987,10.20.11.177,OT_12,SSH,22,ALLOW,2.21,14,0
FW_0566,2026-08-04 07:49:00,VPN_0958,10.20.6.25,OT_01,MODBUS,502,ALLOW,16.34,11,0
FW_1238,2026-08-04 08:00:00,VPN_0283,10.20.12.221,OT_15,MODBUS,502,ALLOW,4.92,12,0
FW_0777,2026-08-04 08:04:00,VPN_1987,10.20.11.177,OT_12,FTP,21,DENY,16.29,10,1
FW_0380,2026-08-04 08:40:00,VPN_1602,10.20.12.127,OT_01,MODBUS,502,ALLOW,1.69,7,0
FW_1911,2026-08-04 08:47:00,VPN_0283,10.20.12.221,OT_15,SSH,22,ALLOW,10.82,8,0
FW_1863,2026-08-04 08:52:00,VPN_0791,10.20.6.147,OT_01,MODBUS,502,ALLOW,2.07,13,0
FW_0806,2026-08-04 09:29:00,VPN_1356,198.51.100.178,OT_11,TELNET,23,ALLOW,24.9,37,1
FW_1953,2026-08-04 09:32:00,VPN_0791,10.20.6.147,OT_01,MODBUS,502,ALLOW,3.97,13,0
FW_1917,2026-08-04 10:10:00,VPN_1356,198.51.100.178,OT_11,MODBUS,502,ALLOW,44.51,32,0
FW_0642,2026-08-04 11:37:00,VPN_0619,10.20.8.165,OT_11,SSH,22,ALLOW,3.46,6,0
FW_0486,2026-08-04 11:44:00,VPN_0619,10.20.8.165,OT_11,HTTPS,443,ALLOW,1.76,5,0
FW_0673,2026-08-04 12:10:00,VPN_0619,10.20.8.165,OT_11,MODBUS,502,ALLOW,1.09,10,0
FW_0668,2026-08-04 12:33:00,VPN_1945,10.20.5.210,OT_13,MODBUS,502,ALLOW,2.63,9,0
FW_1742,2026-08-04 12:41:00,VPN_0444,10.20.10.113,OT_07,HTTPS,443,ALLOW,1.18,3,0
FW_0144,2026-08-04 13:19:00,VPN_1569,198.51.100.210,OT_13,SSH,22,ALLOW,43.42,32,0
FW_1202,2026-08-04 13:20:00,VPN_0444,10.20.10.113,OT_07,HTTPS,443,ALLOW,1.87,9,0
FW_0610,2026-08-04 14:14:00,VPN_1079,10.20.10.60,OT_01,HTTPS,443,ALLOW,7.26,10,0
FW_1707,2026-08-04 14:18:00,VPN_1079,10.20.10.60,OT_01,MODBUS,502,ALLOW,6.47,6,0
FW_0117,2026-08-04 14:46:00,VPN_0363,10.20.11.120,OT_13,TELNET,23,DENY,10.43,8,1
