session_id,timestamp,vendor_id,user_id,source_ip,device_id,geo_region,login_result,mfa_used,duration_min,bytes_out_mb,asset_id,off_hours,new_device,failed_attempts,unusual_asset,label_suspicious
VPN_1848,2026-08-01 08:23:00,VENDOR_09,USER_09,10.20.9.79,DEV_09_A,Windhoek,SUCCESS,0,22.7,8.61,OT_03,0,0,0,0,0
VPN_0084,2026-08-01 08:56:00,VENDOR_08,USER_08,10.20.8.22,DEV_08_A,Windhoek,SUCCESS,1,25.7,1.01,OT_10,0,0,1,0,0
VPN_0206,2026-08-01 09:59:00,VENDOR_08,USER_08,10.20.8.161,DEV_08_A,Windhoek,SUCCESS,1,51.5,1.48,OT_08,0,0,0,0,0
VPN_1966,2026-08-01 10:00:00,VENDOR_04,USER_04,10.20.4.89,DEV_04_A,Windhoek,FAIL,1,25.6,21.23,OT_04,0,0,0,0,0
VPN_0033,2026-08-01 10:21:00,VENDOR_05,USER_05,10.20.5.58,DEV_05_A,Windhoek,SUCCESS,1,22.0,4.22,OT_02,0,0,1,0,0
VPN_1867,2026-08-01 11:22:00,VENDOR_09,USER_09,10.20.9.107,DEV_09_A,Erongo,SUCCESS,1,28.4,1.97,OT_05,0,0,0,0,0
VPN_1611,2026-08-01 12:33:00,VENDOR_10,USER_10,10.20.10.85,DEV_10_A,Windhoek,SUCCESS,1,43.4,10.71,OT_08,0,0,0,0,0
VPN_0626,2026-08-01 12:34:00,VENDOR_01,USER_01,198.51.100.37,DEV_01_A,Outside Namibia,SUCCESS,1,56.7,82.95,OT_13,0,0,2,1,1
VPN_1323,2026-08-01 13:02:00,VENDOR_03,USER_03,10.20.3.110,DEV_03_A,Windhoek,SUCCESS,1,61.5,0.85,OT_12,0,0,1,0,0
VPN_0397,2026-08-01 13:21:00,VENDOR_09,USER_09,10.20.9.82,DEV_09_A,Windhoek,SUCCESS,1,30.5,1.2,OT_06,0,0,0,1,0
VPN_0491,2026-08-01 13:57:00,VENDOR_05,USER_05,10.20.5.103,DEV_05_A,Windhoek,SUCCESS,1,46.2,7.42,OT_11,0,0,1,0,0
VPN_0111,2026-08-01 14:03:00,VENDOR_03,USER_03,10.20.3.107,DEV_03_A,Windhoek,SUCCESS,1,43.6,6.86,OT_11,0,0,0,0,0
VPN_1615,2026-08-01 14:19:00,VENDOR_01,USER_01,10.20.1.74,DEV_01_A,Windhoek,SUCCESS,1,30.9,9.76,OT_03,0,0,0,0,0
VPN_0478,2026-08-01 14:33:00,VENDOR_10,USER_10,10.20.10.10,DEV_10_A,Windhoek,SUCCESS,1,39.3,5.29,OT_05,0,0,1,0,0
VPN_0392,2026-08-01 14:50:00,VENDOR_11,USER_11,198.51.100.217,DEV_EXT_282,Outside Namibia,SUCCESS,0,50.6,74.66,OT_11,0,1,4,0,1
VPN_0708,2026-08-01 14:56:00,VENDOR_03,USER_03,198.51.100.199,DEV_EXT_572,Outside Namibia,FAIL,1,70.3,132.1,OT_03,0,1,4,0,1
VPN_1122,2026-08-01 15:03:00,VENDOR_03,USER_03,10.20.3.112,DEV_03_A,Windhoek,SUCCESS,1,16.6,4.3,OT_01,0,0,0,1,0
VPN_1932,2026-08-01 15:13:00,VENDOR_11,USER_11,10.20.11.14,DEV_11_A,Erongo,SUCCESS,1,16.6,12.03,OT_09,0,0,0,0,0
VPN_0139,2026-08-01 15:26:00,VENDOR_11,USER_11,10.20.11.8,DEV_11_A,Erongo,SUCCESS,1,41.8,10.84,OT_07,0,0,1,0,0
VPN_0420,2026-08-01 15:33:00,VENDOR_08,USER_08,10.20.8.108,DEV_08_A,Windhoek,SUCCESS,1,26.4,10.74,OT_08,0,0,0,0,0
VPN_0970,2026-08-01 15:46:00,VENDOR_10,USER_10,10.20.10.54,DEV_10_A,Windhoek,SUCCESS,1,15.3,10.29,OT_07,0,0,0,0,0
VPN_0982,2026-08-01 16:07:00,VENDOR_07,USER_07,198.51.100.3,DEV_EXT_194,Outside Namibia,SUCCESS,1,100.8,39.52,OT_12,0,1,4,0,1
VPN_1699,2026-08-01 16:11:00,VENDOR_12,USER_12,10.20.12.18,DEV_12_A,Windhoek,SUCCESS,1,33.8,6.69,OT_02,0,0,1,0,0
VPN_1479,2026-08-01 16:57:00,VENDOR_04,USER_04,10.20.4.86,DEV_04_A,Windhoek,SUCCESS,1,38.8,10.42,OT_12,0,0,0,0,0
VPN_0883,2026-08-01 17:02:00,VENDOR_01,USER_01,10.20.1.222,DEV_01_A,Windhoek,SUCCESS,1,20.1,2.51,OT_06,0,0,1,0,0
VPN_0616,2026-08-01 17:21:00,VENDOR_10,USER_10,10.20.10.23,DEV_10_A,Windhoek,SUCCESS,1,33.4,1.16,OT_08,0,0,1,0,0
VPN_0066,2026-08-01 17:41:00,VENDOR_10,USER_10,10.20.10.125,DEV_10_A,Erongo,SUCCESS,1,26.0,12.01,OT_02,0,0,0,0,0
VPN_0617,2026-08-01 18:28:00,VENDOR_06,USER_06,10.20.6.196,DEV_06_A,Windhoek,SUCCESS,1,34.8,16.52,OT_10,0,0,1,0,0
VPN_1604,2026-08-01 18:43:00,VENDOR_09,USER_09,10.20.9.83,DEV_09_A,Windhoek,SUCCESS,1,21.4,5.5,OT_14,0,0,1,0,0
VPN_0080,2026-08-01 18:50:00,VENDOR_05,USER_05,10.20.5.41,DEV_05_A,Windhoek,SUCCESS,1,13.3,9.22,OT_04,0,0,0,0,0
VPN_0493,2026-08-01 19:20:00,VENDOR_03,USER_03,10.20.3.147,DEV_03_A,Windhoek,SUCCESS,1,49.1,39.6,OT_07,0,0,0,0,0
VPN_0602,2026-08-01 19:48:00,VENDOR_03,USER_03,10.20.3.236,DEV_03_A,Windhoek,SUCCESS,1,28.4,2.24,OT_11,0,0,0,0,0
VPN_0474,2026-08-01 21:45:00,VENDOR_09,USER_09,10.20.9.30,DEV_09_A,Windhoek,SUCCESS,1,41.5,5.84,OT_13,1,0,0,0,0
VPN_1538,2026-08-01 21:48:00,VENDOR_02,USER_02,10.20.2.191,DEV_02_A,Windhoek,SUCCESS,1,15.3,2.48,OT_06,1,0,1,0,0
VPN_0408,2026-08-01 21:56:00,VENDOR_03,USER_03,10.20.3.121,DEV_03_A,Windhoek,SUCCESS,1,36.8,3.23,OT_13,1,0,1,0,0
VPN_0548,2026-08-01 22:12:00,VENDOR_07,USER_07,10.20.7.68,DEV_07_A,Windhoek,SUCCESS,1,28.7,3.15,OT_08,1,0,1,0,0
VPN_0252,2026-08-01 22:34:00,VENDOR_04,USER_04,10.20.4.231,DEV_04_A,Windhoek,SUCCESS,1,8.3,9.89,OT_06,1,0,0,0,0
VPN_1023,2026-08-01 22:52:00,VENDOR_12,USER_12,198.51.100.201,DEV_EXT_797,Outside Namibia,SUCCESS,0,110.9,31.94,OT_05,1,1,6,1,1
VPN_0789,2026-08-01 23:02:00,VENDOR_07,USER_07,10.20.7.181,DEV_07_A,Windhoek,SUCCESS,1,33.8,8.45,OT_04,1,0,0,0,0
VPN_0674,2026-08-01 23:07:00,VENDOR_06,USER_06,10.20.6.80,DEV_06_A,Windhoek,SUCCESS,1,28.8,14.7,OT_02,1,0,0,0,0
VPN_0321,2026-08-01 23:07:00,VENDOR_12,USER_12,10.20.12.17,DEV_12_A,Windhoek,SUCCESS,1,53.6,2.52,OT_12,1,0,0,0,0
VPN_1352,2026-08-01 23:24:00,VENDOR_06,USER_06,10.20.6.40,DEV_06_A,Windhoek,SUCCESS,1,12.3,21.6,OT_09,1,0,1,0,0
VPN_0892,2026-08-01 23:37:00,VENDOR_02,USER_02,10.20.2.149,DEV_02_A,Windhoek,SUCCESS,1,30.2,10.88,OT_02,1,0,0,0,0
VPN_0233,2026-08-02 00:19:00,VENDOR_01,USER_01,10.20.1.66,DEV_01_A,Windhoek,SUCCESS,0,14.2,5.34,OT_06,1,0,0,0,0
VPN_1100,2026-08-02 00:24:00,VENDOR_06,USER_06,10.20.6.19,DEV_06_A,Windhoek,SUCCESS,1,35.5,3.59,OT_03,1,0,1,0,0
VPN_1597,2026-08-02 00:24:00,VENDOR_09,USER_09,198.51.100.115,DEV_09_A,Outside Namibia,FAIL,0,114.9,85.96,OT_09,1,0,5,1,1
VPN_0097,2026-08-02 00:30:00,VENDOR_11,USER_11,10.20.11.84,DEV_11_A,Windhoek,SUCCESS,1,31.2,9.15,OT_12,1,0,0,0,0
VPN_1273,2026-08-02 01:00:00,VENDOR_07,USER_07,10.20.7.150,DEV_07_A,Erongo,SUCCESS,0,65.7,4.2,OT_02,1,0,0,0,0
VPN_0523,2026-08-02 01:09:00,VENDOR_04,USER_04,10.20.4.174,DEV_04_A,Windhoek,SUCCESS,1,36.2,1.56,OT_14,1,0,0,0,0
VPN_1780,2026-08-02 01:10:00,VENDOR_05,USER_05,10.20.5.110,DEV_05_A,Windhoek,SUCCESS,1,51.1,10.89,OT_10,1,0,0,0,0
VPN_0188,2026-08-02 01:28:00,VENDOR_03,USER_03,10.20.3.41,DEV_03_A,Windhoek,SUCCESS,0,13.5,16.87,OT_06,1,0,0,0,0
VPN_0812,2026-08-02 01:31:00,VENDOR_03,USER_03,10.20.3.15,DEV_03_A,Windhoek,SUCCESS,1,9.0,2.56,OT_04,1,0,1,0,0
VPN_1244,2026-08-02 01:40:00,VENDOR_07,USER_07,10.20.7.15,DEV_07_A,Windhoek,SUCCESS,1,27.0,4.2,OT_07,1,0,0,0,0
VPN_0640,2026-08-02 02:01:00,VENDOR_03,USER_03,10.20.3.204,DEV_EXT_242,Windhoek,SUCCESS,1,11.7,12.0,OT_15,1,1,0,0,0
VPN_1879,2026-08-02 02:57:00,VENDOR_11,USER_11,10.20.11.78,DEV_EXT_900,Windhoek,SUCCESS,1,23.9,13.92,OT_11,1,1,0,0,0
VPN_1512,2026-08-02 03:20:00,VENDOR_04,USER_04,10.20.4.101,DEV_04_A,Erongo,SUCCESS,1,28.8,52.84,OT_13,1,0,0,0,0
VPN_0517,2026-08-02 03:25:00,VENDOR_01,USER_01,10.20.1.26,DEV_01_A,Windhoek,FAIL,1,29.5,1.23,OT_07,1,0,0,0,0
VPN_0286,2026-08-02 03:35:00,VENDOR_03,USER_03,10.20.3.222,DEV_03_A,Windhoek,SUCCESS,0,27.8,3.64,OT_12,1,0,0,0,0
VPN_1938,2026-08-02 04:07:00,VENDOR_08,USER_08,198.51.100.196,DEV_08_A,Outside Namibia,SUCCESS,0,108.8,31.87,OT_06,1,0,5,1,1
VPN_0181,2026-08-02 04:12:00,VENDOR_03,USER_03,10.20.3.70,DEV_03_A,Windhoek,SUCCESS,0,39.1,16.81,OT_07,1,0,0,0,0
VPN_0322,2026-08-02 04:59:00,VENDOR_05,USER_05,10.20.5.86,DEV_05_A,Windhoek,SUCCESS,1,15.2,4.02,OT_05,1,0,0,0,0
VPN_0433,2026-08-02 05:04:00,VENDOR_04,USER_04,10.20.4.18,DEV_04_A,Windhoek,FAIL,1,27.7,4.51,OT_04,1,0,0,0,0
VPN_1028,2026-08-02 05:24:00,VENDOR_12,USER_12,10.20.12.126,DEV_12_A,Windhoek,SUCCESS,1,33.2,19.71,OT_08,1,0,1,0,0
VPN_1617,2026-08-02 06:45:00,VENDOR_09,USER_09,10.20.9.171,DEV_09_A,Windhoek,SUCCESS,1,29.1,1.93,OT_14,0,0,0,0,0
VPN_0189,2026-08-02 07:43:00,VENDOR_03,USER_03,10.20.3.240,DEV_03_A,Windhoek,SUCCESS,1,20.2,12.83,OT_12,0,0,1,0,0
VPN_1407,2026-08-02 07:59:00,VENDOR_05,USER_05,10.20.5.161,DEV_05_A,Windhoek,SUCCESS,1,37.4,3.14,OT_08,0,0,0,0,0
VPN_1401,2026-08-02 08:18:00,VENDOR_10,USER_10,10.20.10.125,DEV_EXT_869,Windhoek,SUCCESS,1,20.0,2.62,OT_13,0,1,0,0,0
VPN_1440,2026-08-02 08:30:00,VENDOR_06,USER_06,10.20.6.77,DEV_06_A,Windhoek,SUCCESS,1,42.4,15.45,OT_13,0,0,0,0,0
VPN_0122,2026-08-02 08:30:00,VENDOR_12,USER_12,10.20.12.133,DEV_12_A,Windhoek,SUCCESS,1,35.3,3.52,OT_09,0,0,0,0,0
VPN_1467,2026-08-02 08:38:00,VENDOR_11,USER_11,10.20.11.111,DEV_11_A,Windhoek,SUCCESS,1,39.0,0.67,OT_07,0,0,0,0,0
VPN_1304,2026-08-02 08:49:00,VENDOR_04,USER_04,10.20.4.144,DEV_04_A,Windhoek,SUCCESS,1,38.3,12.71,OT_11,0,0,0,0,0
VPN_1921,2026-08-02 09:04:00,VENDOR_07,USER_07,10.20.7.53,DEV_07_A,Windhoek,SUCCESS,1,29.1,2.94,OT_12,0,0,0,0,0
VPN_0632,2026-08-02 09:04:00,VENDOR_04,USER_04,10.20.4.125,DEV_04_A,Windhoek,SUCCESS,1,58.3,10.08,OT_06,0,0,0,0,0
VPN_0930,2026-08-02 09:11:00,VENDOR_08,USER_08,10.20.8.244,DEV_EXT_373,Windhoek,SUCCESS,1,42.7,4.8,OT_10,0,1,0,0,0
VPN_0191,2026-08-02 09:18:00,VENDOR_09,USER_09,10.20.9.127,DEV_09_A,Windhoek,SUCCESS,1,37.5,4.79,OT_02,0,0,0,0,0
VPN_1601,2026-08-02 09:29:00,VENDOR_07,USER_07,198.51.100.142,DEV_07_A,Outside Namibia,SUCCESS,0,73.5,25.14,OT_01,0,0,4,1,1
VPN_0109,2026-08-02 09:46:00,VENDOR_01,USER_01,10.20.1.50,DEV_01_A,Windhoek,SUCCESS,1,44.1,8.58,OT_14,0,0,0,0,0
VPN_0628,2026-08-02 10:15:00,VENDOR_07,USER_07,10.20.7.22,DEV_07_A,Windhoek,SUCCESS,1,35.9,1.26,OT_08,0,0,0,0,0
VPN_0030,2026-08-02 10:30:00,VENDOR_12,USER_12,10.20.12.151,DEV_12_A,Erongo,SUCCESS,1,34.7,3.78,OT_03,0,0,0,0,0
VPN_1830,2026-08-02 10:52:00,VENDOR_08,USER_08,10.20.8.62,DEV_08_A,Windhoek,SUCCESS,1,33.9,2.36,OT_05,0,0,0,0,0
VPN_1145,2026-08-02 11:28:00,VENDOR_01,USER_01,10.20.1.70,DEV_01_A,Erongo,SUCCESS,1,31.4,49.7,OT_13,0,0,0,0,0
VPN_1246,2026-08-02 11:32:00,VENDOR_05,USER_05,10.20.5.99,DEV_05_A,Windhoek,SUCCESS,1,28.8,4.83,OT_08,0,0,0,0,0
VPN_0387,2026-08-02 11:34:00,VENDOR_01,USER_01,10.20.1.191,DEV_01_A,Windhoek,SUCCESS,1,55.2,8.05,OT_13,0,0,1,0,0
VPN_1266,2026-08-02 12:20:00,VENDOR_12,USER_12,10.20.12.106,DEV_12_A,Windhoek,SUCCESS,1,33.5,5.14,OT_13,0,0,0,0,0
VPN_0406,2026-08-02 12:43:00,VENDOR_10,USER_10,198.51.100.15,DEV_EXT_683,Unknown,SUCCESS,0,86.5,38.64,OT_09,0,1,6,1,1
VPN_0388,2026-08-02 13:23:00,VENDOR_12,USER_12,10.20.12.55,DEV_12_A,Erongo,SUCCESS,1,38.5,5.9,OT_11,0,0,0,0,0
VPN_0983,2026-08-02 13:27:00,VENDOR_03,USER_03,10.20.3.205,DEV_03_A,Windhoek,SUCCESS,1,34.2,1.85,OT_01,0,0,0,0,0
VPN_1447,2026-08-02 13:28:00,VENDOR_06,USER_06,10.20.6.179,DEV_06_A,Windhoek,SUCCESS,1,25.3,4.21,OT_05,0,0,0,0,0
VPN_1711,2026-08-02 13:34:00,VENDOR_02,USER_02,10.20.2.204,DEV_02_A,Windhoek,FAIL,1,25.1,7.75,OT_12,0,0,0,0,0
VPN_0442,2026-08-02 13:39:00,VENDOR_12,USER_12,10.20.12.144,DEV_12_A,Erongo,SUCCESS,1,32.9,2.23,OT_09,0,0,0,0,0
VPN_1303,2026-08-02 14:05:00,VENDOR_11,USER_11,10.20.11.56,DEV_11_A,Windhoek,SUCCESS,1,41.0,2.17,OT_13,0,0,0,0,0
VPN_0347,2026-08-02 14:28:00,VENDOR_12,USER_12,10.20.12.213,DEV_12_A,Windhoek,SUCCESS,1,43.1,2.99,OT_15,0,0,0,0,0
VPN_1328,2026-08-02 14:30:00,VENDOR_02,USER_02,10.20.2.29,DEV_EXT_980,Windhoek,SUCCESS,1,47.7,2.88,OT_07,0,1,0,0,0
VPN_1264,2026-08-02 14:49:00,VENDOR_02,USER_02,198.51.100.45,DEV_EXT_579,Outside Namibia,FAIL,0,59.9,38.21,OT_01,0,1,2,0,1
VPN_1537,2026-08-02 14:56:00,VENDOR_11,USER_11,10.20.11.92,DEV_11_A,Windhoek,SUCCESS,1,20.0,2.3,OT_15,0,0,2,0,0
VPN_0290,2026-08-02 15:15:00,VENDOR_03,USER_03,10.20.3.147,DEV_03_A,Windhoek,SUCCESS,1,24.0,1.6,OT_11,0,0,0,0,0
VPN_0055,2026-08-02 15:50:00,VENDOR_08,USER_08,198.51.100.34,DEV_08_A,Outside Namibia,SUCCESS,1,118.2,62.39,OT_07,0,0,6,1,1
VPN_1139,2026-08-02 16:35:00,VENDOR_01,USER_01,10.20.1.179,DEV_01_A,Windhoek,SUCCESS,1,41.7,6.66,OT_06,0,0,0,0,0
VPN_0215,2026-08-02 16:52:00,VENDOR_08,USER_08,10.20.8.20,DEV_08_A,Windhoek,SUCCESS,1,37.3,3.88,OT_06,0,0,1,0,0
VPN_1760,2026-08-02 18:09:00,VENDOR_12,USER_12,10.20.12.221,DEV_12_A,Windhoek,SUCCESS,1,3.6,9.66,OT_01,0,0,0,0,0
VPN_0515,2026-08-02 18:27:00,VENDOR_11,USER_11,10.20.11.197,DEV_11_A,Windhoek,SUCCESS,1,22.8,3.98,OT_01,0,0,0,0,0
VPN_1902,2026-08-02 18:48:00,VENDOR_09,USER_09,10.20.9.43,DEV_09_A,Windhoek,SUCCESS,1,49.8,6.62,OT_10,0,0,0,1,0
VPN_1311,2026-08-02 19:19:00,VENDOR_07,USER_07,10.20.7.242,DEV_07_A,Windhoek,SUCCESS,1,21.5,3.84,OT_10,0,0,0,0,0
VPN_0774,2026-08-02 19:31:00,VENDOR_08,USER_08,198.51.100.46,DEV_EXT_948,Outside Namibia,SUCCESS,1,54.4,164.19,OT_14,0,1,3,0,1
VPN_1786,2026-08-02 20:00:00,VENDOR_04,USER_04,10.20.4.15,DEV_04_A,Erongo,SUCCESS,1,27.4,1.85,OT_03,1,0,0,0,0
VPN_0919,2026-08-02 20:17:00,VENDOR_08,USER_08,10.20.8.91,DEV_08_A,Windhoek,SUCCESS,1,32.2,2.83,OT_10,1,0,0,0,0
VPN_0410,2026-08-02 20:33:00,VENDOR_07,USER_07,10.20.7.24,DEV_07_A,Windhoek,SUCCESS,1,34.1,5.4,OT_14,1,0,0,0,0
VPN_1044,2026-08-02 21:10:00,VENDOR_06,USER_06,10.20.6.218,DEV_06_A,Windhoek,SUCCESS,1,10.2,6.88,OT_09,1,0,0,0,0
VPN_0592,2026-08-02 21:22:00,VENDOR_02,USER_02,10.20.2.205,DEV_02_A,Windhoek,SUCCESS,1,13.3,3.07,OT_01,1,0,0,0,0
VPN_1104,2026-08-02 21:23:00,VENDOR_12,USER_12,10.20.12.210,DEV_12_A,Windhoek,SUCCESS,1,17.2,2.86,OT_02,1,0,0,0,0
VPN_0865,2026-08-02 21:43:00,VENDOR_03,USER_03,10.20.3.72,DEV_03_A,Windhoek,SUCCESS,1,31.2,4.48,OT_05,1,0,2,0,0
VPN_1176,2026-08-02 21:56:00,VENDOR_09,USER_09,10.20.9.244,DEV_09_A,Windhoek,SUCCESS,1,34.2,9.39,OT_03,1,0,0,0,0
VPN_0449,2026-08-02 22:11:00,VENDOR_06,USER_06,10.20.6.96,DEV_06_A,Erongo,SUCCESS,1,31.5,7.58,OT_10,1,0,2,0,0
VPN_0130,2026-08-02 23:06:00,VENDOR_11,USER_11,10.20.11.87,DEV_11_A,Windhoek,SUCCESS,1,44.2,17.93,OT_01,1,0,0,0,0
VPN_1476,2026-08-02 23:18:00,VENDOR_08,USER_08,10.20.8.13,DEV_08_A,Windhoek,SUCCESS,1,34.4,4.7,OT_09,1,0,0,0,0
VPN_1741,2026-08-02 23:44:00,VENDOR_11,USER_11,10.20.11.28,DEV_11_A,Windhoek,SUCCESS,1,30.1,5.58,OT_01,1,0,1,0,0
VPN_0836,2026-08-03 00:04:00,VENDOR_12,USER_12,10.20.12.124,DEV_12_A,Erongo,SUCCESS,1,27.1,3.13,OT_11,1,0,2,0,0
VPN_0844,2026-08-03 00:24:00,VENDOR_11,USER_11,10.20.11.50,DEV_11_A,Windhoek,SUCCESS,1,29.1,13.23,OT_12,1,0,2,0,0
VPN_0941,2026-08-03 01:18:00,VENDOR_03,USER_03,10.20.3.81,DEV_03_A,Windhoek,SUCCESS,1,26.8,27.24,OT_06,1,0,0,0,0
VPN_1049,2026-08-03 01:23:00,VENDOR_12,USER_12,10.20.12.238,DEV_12_A,Windhoek,FAIL,1,23.7,2.29,OT_08,1,0,0,0,0
VPN_0740,2026-08-03 01:37:00,VENDOR_03,USER_03,10.20.3.243,DEV_03_A,Windhoek,SUCCESS,1,42.3,7.39,OT_01,1,0,0,0,0
VPN_0145,2026-08-03 01:40:00,VENDOR_07,USER_07,10.20.7.137,DEV_07_A,Windhoek,SUCCESS,1,34.8,2.78,OT_12,1,0,0,0,0
VPN_0734,2026-08-03 03:16:00,VENDOR_04,USER_04,10.20.4.36,DEV_04_A,Windhoek,SUCCESS,1,28.1,2.78,OT_10,1,0,0,0,0
VPN_0679,2026-08-03 03:33:00,VENDOR_01,USER_01,10.20.1.80,DEV_01_A,Windhoek,SUCCESS,1,39.6,6.88,OT_02,1,0,0,0,0
VPN_0136,2026-08-03 04:13:00,VENDOR_01,USER_01,10.20.1.147,DEV_01_A,Erongo,SUCCESS,1,33.1,1.84,OT_06,1,0,0,0,0
VPN_1735,2026-08-03 04:14:00,VENDOR_09,USER_09,10.20.9.199,DEV_09_A,Windhoek,SUCCESS,1,45.3,10.21,OT_15,1,0,0,0,0
VPN_0204,2026-08-03 04:54:00,VENDOR_04,USER_04,10.20.4.104,DEV_04_A,Erongo,SUCCESS,1,9.8,3.38,OT_04,1,0,0,0,0
VPN_1697,2026-08-03 05:22:00,VENDOR_03,USER_03,10.20.3.147,DEV_03_A,Windhoek,SUCCESS,1,20.4,6.01,OT_15,1,0,0,0,0
VPN_1953,2026-08-03 05:41:00,VENDOR_02,USER_02,10.20.2.16,DEV_02_A,Windhoek,SUCCESS,1,38.5,2.0,OT_13,1,0,0,0,0
VPN_1547,2026-08-03 06:20:00,VENDOR_01,USER_01,10.20.1.71,DEV_01_A,Windhoek,SUCCESS,1,10.3,20.99,OT_14,0,0,0,0,0
VPN_0988,2026-08-03 07:32:00,VENDOR_05,USER_05,10.20.5.185,DEV_05_A,Windhoek,SUCCESS,1,8.2,4.82,OT_05,0,0,0,0,0
VPN_1396,2026-08-03 07:55:00,VENDOR_06,USER_06,10.20.6.166,DEV_06_A,Windhoek,SUCCESS,0,29.0,2.6,OT_13,0,0,0,0,0
VPN_1363,2026-08-03 08:07:00,VENDOR_01,USER_01,10.20.1.244,DEV_01_A,Windhoek,SUCCESS,1,30.0,8.97,OT_11,0,0,0,0,0
VPN_1085,2026-08-03 08:07:00,VENDOR_01,USER_01,198.51.100.160,DEV_01_A,Outside Namibia,FAIL,0,112.5,79.92,OT_11,0,0,2,0,0
VPN_1121,2026-08-03 08:10:00,VENDOR_12,USER_12,10.20.12.215,DEV_12_A,Windhoek,SUCCESS,1,39.9,25.39,OT_03,0,0,0,0,0
VPN_1272,2026-08-03 08:31:00,VENDOR_10,USER_10,10.20.10.161,DEV_10_A,Windhoek,SUCCESS,1,31.4,2.72,OT_06,0,0,1,0,0
VPN_0234,2026-08-03 09:01:00,VENDOR_04,USER_04,198.51.100.211,DEV_EXT_738,Outside Namibia,SUCCESS,1,70.7,16.61,OT_15,0,1,7,1,1
