telemetry_id,timestamp,asset_id,sensor_type,value,set_point,deviation,command_count,state,anomaly_flag
TEL_1162,2026-08-02 11:35:00,OT_04,chlorine_mg_l,0.745,0.7,0.045,2,NORMAL,0
TEL_1359,2026-08-02 11:41:00,OT_04,reservoir_level_pct,69.343,72.0,2.657,1,NORMAL,0
TEL_0380,2026-08-02 11:53:00,OT_01,flow_lps,180.893,210.0,29.107,0,NORMAL,0
TEL_0548,2026-08-02 11:57:00,OT_01,pressure_bar,4.465,4.0,0.465,1,NORMAL,0
TEL_1384,2026-08-02 12:14:00,OT_01,reservoir_level_pct,63.469,72.0,8.531,1,NORMAL,0
TEL_0874,2026-08-02 12:38:00,OT_13,flow_lps,309.977,210.0,99.977,7,ALARM,1
TEL_0640,2026-08-02 12:56:00,OT_03,pressure_bar,4.599,4.0,0.599,2,NORMAL,0
TEL_0669,2026-08-02 12:56:00,OT_05,flow_lps,180.108,210.0,29.892,2,NORMAL,0
TEL_0553,2026-08-02 13:00:00,OT_12,chlorine_mg_l,0.688,0.7,0.012,0,NORMAL,0
TEL_0275,2026-08-02 14:52:00,OT_06,flow_lps,195.639,210.0,14.361,1,NORMAL,0
TEL_1486,2026-08-02 14:57:00,OT_09,pressure_bar,4.147,4.0,0.147,4,NORMAL,0
TEL_1176,2026-08-02 15:47:00,OT_12,chlorine_mg_l,0.626,0.7,0.074,2,NORMAL,0
TEL_0663,2026-08-02 18:19:00,OT_07,pressure_bar,4.643,4.0,0.643,1,NORMAL,0
TEL_0038,2026-08-02 18:59:00,OT_01,flow_lps,216.597,210.0,6.597,2,NORMAL,0
TEL_0882,2026-08-02 19:10:00,OT_13,reservoir_level_pct,62.827,72.0,9.173,0,NORMAL,0
TEL_1357,2026-08-02 20:49:00,OT_01,flow_lps,200.052,210.0,9.948,3,NORMAL,0
TEL_0493,2026-08-02 21:16:00,OT_08,chlorine_mg_l,0.746,0.7,0.046,1,NORMAL,0
TEL_1188,2026-08-02 21:25:00,OT_09,reservoir_level_pct,82.682,72.0,10.682,1,NORMAL,0
TEL_0078,2026-08-02 21:59:00,OT_06,chlorine_mg_l,0.658,0.7,0.042,1,NORMAL,0
TEL_0843,2026-08-02 22:59:00,OT_11,pressure_bar,4.171,4.0,0.171,1,NORMAL,0
TEL_0385,2026-08-02 23:22:00,OT_01,flow_lps,203.007,210.0,6.993,1,NORMAL,0
TEL_0580,2026-08-02 23:42:00,OT_05,reservoir_level_pct,68.811,72.0,3.189,0,NORMAL,0
TEL_1160,2026-08-03 00:48:00,OT_01,reservoir_level_pct,70.294,72.0,1.706,1,NORMAL,0
TEL_1126,2026-08-03 00:59:00,OT_09,reservoir_level_pct,81.851,72.0,9.851,1,NORMAL,0
TEL_1446,2026-08-03 01:05:00,OT_05,flow_lps,218.654,210.0,8.654,1,NORMAL,0
TEL_0972,2026-08-03 02:41:00,OT_15,reservoir_level_pct,65.401,72.0,6.599,0,NORMAL,0
TEL_0970,2026-08-03 02:44:00,OT_10,reservoir_level_pct,88.818,72.0,16.818,0,NORMAL,0
TEL_0153,2026-08-03 02:54:00,OT_06,flow_lps,206.526,210.0,3.474,0,NORMAL,0
TEL_1081,2026-08-03 03:33:00,OT_06,pressure_bar,4.063,4.0,0.063,1,NORMAL,0
TEL_0341,2026-08-03 04:26:00,OT_15,flow_lps,211.692,210.0,1.692,0,NORMAL,0
TEL_0371,2026-08-03 04:33:00,OT_04,flow_lps,214.37,210.0,4.37,0,NORMAL,0
TEL_1333,2026-08-03 05:41:00,OT_11,reservoir_level_pct,78.467,72.0,6.467,2,NORMAL,0
TEL_0093,2026-08-03 05:42:00,OT_15,reservoir_level_pct,80.581,72.0,8.581,4,NORMAL,0
TEL_1227,2026-08-03 05:46:00,OT_12,flow_lps,256.742,210.0,46.742,2,NORMAL,0
TEL_0369,2026-08-03 06:47:00,OT_14,chlorine_mg_l,0.717,0.7,0.017,1,NORMAL,0
TEL_0400,2026-08-03 07:23:00,OT_15,reservoir_level_pct,74.8,72.0,2.8,1,NORMAL,0
TEL_0283,2026-08-03 09:57:00,OT_10,chlorine_mg_l,0.667,0.7,0.033,0,NORMAL,0
TEL_0325,2026-08-03 10:13:00,OT_02,flow_lps,185.2,210.0,24.8,1,NORMAL,0
TEL_0544,2026-08-03 10:40:00,OT_09,flow_lps,207.788,210.0,2.212,1,NORMAL,0
TEL_0048,2026-08-03 10:41:00,OT_13,chlorine_mg_l,0.691,0.7,0.009,2,NORMAL,0
TEL_0959,2026-08-03 10:53:00,OT_06,flow_lps,215.125,210.0,5.125,0,NORMAL,0
TEL_1211,2026-08-03 10:56:00,OT_08,flow_lps,195.537,210.0,14.463,1,NORMAL,0
TEL_1204,2026-08-03 11:25:00,OT_03,flow_lps,244.019,210.0,34.019,2,NORMAL,0
TEL_1378,2026-08-03 12:32:00,OT_08,pressure_bar,4.397,4.0,0.397,0,NORMAL,0
TEL_0543,2026-08-03 13:15:00,OT_12,chlorine_mg_l,0.752,0.7,0.052,2,NORMAL,0
TEL_0434,2026-08-03 13:20:00,OT_06,chlorine_mg_l,0.607,0.7,0.093,0,NORMAL,0
TEL_1099,2026-08-03 13:28:00,OT_11,pressure_bar,3.852,4.0,0.148,2,NORMAL,0
TEL_0920,2026-08-03 13:36:00,OT_12,pressure_bar,4.392,4.0,0.392,0,NORMAL,0
TEL_0375,2026-08-03 13:48:00,OT_13,chlorine_mg_l,1.116,0.7,0.416,12,ALARM,1
TEL_0657,2026-08-03 13:54:00,OT_15,pressure_bar,4.122,4.0,0.122,0,NORMAL,0
TEL_0336,2026-08-03 14:03:00,OT_10,flow_lps,241.256,210.0,31.256,0,NORMAL,0
TEL_1474,2026-08-03 14:11:00,OT_06,chlorine_mg_l,0.61,0.7,0.09,2,NORMAL,0
TEL_1414,2026-08-03 15:17:00,OT_04,flow_lps,222.515,210.0,12.515,2,NORMAL,0
TEL_1200,2026-08-03 15:17:00,OT_09,reservoir_level_pct,77.207,72.0,5.207,1,NORMAL,0
TEL_0608,2026-08-03 15:56:00,OT_10,flow_lps,211.572,210.0,1.572,4,NORMAL,0
TEL_0776,2026-08-03 16:31:00,OT_01,reservoir_level_pct,63.646,72.0,8.354,1,NORMAL,0
TEL_1311,2026-08-03 18:09:00,OT_15,chlorine_mg_l,0.707,0.7,0.007,1,NORMAL,0
TEL_0067,2026-08-03 18:30:00,OT_07,chlorine_mg_l,0.764,0.7,0.064,4,NORMAL,0
TEL_0688,2026-08-03 18:52:00,OT_13,reservoir_level_pct,62.228,72.0,9.772,1,NORMAL,0
TEL_1201,2026-08-03 19:11:00,OT_14,flow_lps,179.888,210.0,30.112,2,NORMAL,0
TEL_0396,2026-08-03 19:18:00,OT_15,reservoir_level_pct,69.858,72.0,2.142,1,NORMAL,0
TEL_1450,2026-08-03 19:55:00,OT_09,pressure_bar,3.521,4.0,0.479,1,NORMAL,0
TEL_1063,2026-08-03 19:56:00,OT_07,chlorine_mg_l,0.628,0.7,0.072,2,NORMAL,0
TEL_0690,2026-08-03 20:33:00,OT_08,chlorine_mg_l,0.883,0.7,0.183,2,NORMAL,0
TEL_0176,2026-08-03 20:37:00,OT_14,flow_lps,188.178,210.0,21.822,3,NORMAL,0
TEL_0125,2026-08-03 21:35:00,OT_12,chlorine_mg_l,0.751,0.7,0.051,1,NORMAL,0
TEL_0719,2026-08-03 22:40:00,OT_04,flow_lps,255.373,210.0,45.373,1,NORMAL,0
TEL_0208,2026-08-03 23:27:00,OT_07,pressure_bar,6.176,4.0,2.176,8,ALARM,1
TEL_1344,2026-08-04 00:17:00,OT_08,chlorine_mg_l,0.74,0.7,0.04,0,NORMAL,0
TEL_0468,2026-08-04 01:24:00,OT_13,chlorine_mg_l,0.783,0.7,0.083,1,NORMAL,0
TEL_0290,2026-08-04 01:36:00,OT_06,chlorine_mg_l,0.868,0.7,0.168,2,NORMAL,0
TEL_0019,2026-08-04 02:24:00,OT_07,reservoir_level_pct,74.052,72.0,2.052,1,NORMAL,0
TEL_0200,2026-08-04 05:36:00,OT_08,pressure_bar,4.193,4.0,0.193,3,NORMAL,0
TEL_0419,2026-08-04 05:46:00,OT_01,pressure_bar,4.245,4.0,0.245,0,NORMAL,0
TEL_0718,2026-08-04 06:28:00,OT_09,reservoir_level_pct,58.985,72.0,13.015,0,NORMAL,0
TEL_0437,2026-08-04 07:05:00,OT_15,reservoir_level_pct,60.171,72.0,11.829,0,NORMAL,0
TEL_1224,2026-08-04 07:35:00,OT_09,pressure_bar,5.961,4.0,1.961,7,ALARM,1
TEL_1249,2026-08-04 07:41:00,OT_08,reservoir_level_pct,66.817,72.0,5.183,0,NORMAL,0
TEL_1261,2026-08-04 07:43:00,OT_11,reservoir_level_pct,71.509,72.0,0.491,1,NORMAL,0
TEL_1133,2026-08-04 08:02:00,OT_06,reservoir_level_pct,56.689,72.0,15.311,0,NORMAL,0
TEL_1287,2026-08-04 08:07:00,OT_14,pressure_bar,3.553,4.0,0.447,1,NORMAL,0
TEL_0659,2026-08-04 08:26:00,OT_09,reservoir_level_pct,76.182,72.0,4.182,2,NORMAL,0
TEL_1423,2026-08-04 08:46:00,OT_08,chlorine_mg_l,0.683,0.7,0.017,0,NORMAL,0
TEL_0878,2026-08-04 10:22:00,OT_12,flow_lps,202.287,210.0,7.713,0,NORMAL,0
TEL_0658,2026-08-04 10:42:00,OT_02,reservoir_level_pct,80.015,72.0,8.015,1,NORMAL,0
TEL_1467,2026-08-04 12:36:00,OT_05,reservoir_level_pct,63.447,72.0,8.553,0,NORMAL,0
TEL_1151,2026-08-04 12:46:00,OT_03,pressure_bar,3.753,4.0,0.247,1,NORMAL,0
TEL_0902,2026-08-04 12:47:00,OT_12,pressure_bar,3.999,4.0,0.001,2,NORMAL,0
TEL_1116,2026-08-04 13:50:00,OT_09,chlorine_mg_l,0.699,0.7,0.001,0,NORMAL,0
TEL_1230,2026-08-04 15:17:00,OT_08,flow_lps,209.101,210.0,0.899,1,NORMAL,0
TEL_0327,2026-08-04 16:06:00,OT_12,pressure_bar,4.112,4.0,0.112,0,NORMAL,0
TEL_0958,2026-08-04 16:18:00,OT_11,chlorine_mg_l,0.94,0.7,0.24,9,ALARM,1
TEL_0201,2026-08-04 16:31:00,OT_13,flow_lps,216.397,210.0,6.397,1,NORMAL,0
TEL_0458,2026-08-04 16:41:00,OT_11,pressure_bar,3.218,4.0,0.782,0,NORMAL,0
TEL_0591,2026-08-04 17:16:00,OT_12,pressure_bar,4.062,4.0,0.062,0,NORMAL,0
TEL_0300,2026-08-04 17:47:00,OT_06,flow_lps,230.783,210.0,20.783,0,NORMAL,0
TEL_0145,2026-08-04 18:07:00,OT_06,reservoir_level_pct,74.31,72.0,2.31,2,NORMAL,0
TEL_0932,2026-08-04 18:27:00,OT_03,flow_lps,204.238,210.0,5.762,1,NORMAL,0
TEL_1199,2026-08-04 19:27:00,OT_09,chlorine_mg_l,0.779,0.7,0.079,1,NORMAL,0
TEL_1169,2026-08-04 19:31:00,OT_01,chlorine_mg_l,0.733,0.7,0.033,0,NORMAL,0
TEL_1369,2026-08-04 20:01:00,OT_12,chlorine_mg_l,0.586,0.7,0.114,1,NORMAL,0
TEL_0389,2026-08-04 20:13:00,OT_08,reservoir_level_pct,69.814,72.0,2.186,2,NORMAL,0
TEL_1075,2026-08-04 20:33:00,OT_15,chlorine_mg_l,0.618,0.7,0.082,2,NORMAL,0
TEL_1354,2026-08-04 20:44:00,OT_09,chlorine_mg_l,0.839,0.7,0.139,1,NORMAL,0
TEL_1127,2026-08-04 20:44:00,OT_05,reservoir_level_pct,79.938,72.0,7.938,4,NORMAL,0
TEL_0112,2026-08-04 22:21:00,OT_06,pressure_bar,4.741,4.0,0.741,2,NORMAL,0
TEL_1323,2026-08-04 22:55:00,OT_12,pressure_bar,4.61,4.0,0.61,2,NORMAL,0
TEL_0012,2026-08-04 23:52:00,OT_06,pressure_bar,2.471,4.0,1.529,1,NORMAL,0
TEL_1470,2026-08-04 23:55:00,OT_12,flow_lps,283.944,210.0,73.944,7,ALARM,1
TEL_0982,2026-08-05 01:06:00,OT_11,pressure_bar,4.056,4.0,0.056,2,NORMAL,0
TEL_0899,2026-08-05 01:21:00,OT_03,pressure_bar,3.739,4.0,0.261,0,NORMAL,0
TEL_0089,2026-08-05 01:26:00,OT_14,pressure_bar,3.999,4.0,0.001,0,NORMAL,0
TEL_0352,2026-08-05 01:45:00,OT_08,pressure_bar,4.036,4.0,0.036,1,NORMAL,0
TEL_0053,2026-08-05 02:11:00,OT_08,reservoir_level_pct,64.749,72.0,7.251,4,NORMAL,0
TEL_0433,2026-08-05 02:18:00,OT_04,chlorine_mg_l,0.651,0.7,0.049,1,NORMAL,0
TEL_1248,2026-08-05 04:19:00,OT_13,reservoir_level_pct,75.882,72.0,3.882,3,NORMAL,0
TEL_0908,2026-08-05 04:26:00,OT_09,chlorine_mg_l,0.735,0.7,0.035,2,NORMAL,0
TEL_1396,2026-08-05 04:33:00,OT_15,reservoir_level_pct,70.631,72.0,1.369,0,NORMAL,0
TEL_1103,2026-08-05 04:53:00,OT_15,flow_lps,167.183,210.0,42.817,0,NORMAL,0
TEL_0768,2026-08-05 05:12:00,OT_09,flow_lps,249.605,210.0,39.605,1,NORMAL,0
TEL_0598,2026-08-05 06:28:00,OT_02,flow_lps,207.895,210.0,2.105,2,NORMAL,0
TEL_0292,2026-08-05 06:34:00,OT_02,flow_lps,215.688,210.0,5.688,0,NORMAL,0
TEL_0642,2026-08-05 06:57:00,OT_01,pressure_bar,4.041,4.0,0.041,0,NORMAL,0
TEL_1374,2026-08-05 07:10:00,OT_08,flow_lps,208.46,210.0,1.54,0,NORMAL,0
TEL_1251,2026-08-05 07:24:00,OT_14,flow_lps,190.797,210.0,19.203,2,NORMAL,0
TEL_0996,2026-08-05 07:33:00,OT_03,reservoir_level_pct,75.289,72.0,3.289,1,NORMAL,0
TEL_0703,2026-08-05 07:46:00,OT_11,reservoir_level_pct,71.53,72.0,0.47,1,NORMAL,0
TEL_0509,2026-08-05 08:37:00,OT_08,flow_lps,348.304,210.0,138.304,11,ALARM,1
TEL_0734,2026-08-05 09:07:00,OT_13,reservoir_level_pct,106.904,72.0,34.904,12,ALARM,1
TEL_0693,2026-08-05 09:09:00,OT_15,pressure_bar,4.138,4.0,0.138,2,NORMAL,0
TEL_0357,2026-08-05 09:55:00,OT_11,flow_lps,227.205,210.0,17.205,2,NORMAL,0
TEL_0324,2026-08-05 10:01:00,OT_03,flow_lps,177.178,210.0,32.822,0,NORMAL,0
TEL_0451,2026-08-05 10:12:00,OT_14,pressure_bar,3.891,4.0,0.109,1,NORMAL,0
TEL_1129,2026-08-05 11:25:00,OT_09,chlorine_mg_l,0.767,0.7,0.067,1,NORMAL,0
TEL_0512,2026-08-05 11:37:00,OT_09,pressure_bar,3.833,4.0,0.167,1,NORMAL,0
TEL_1045,2026-08-05 11:52:00,OT_03,pressure_bar,4.07,4.0,0.07,1,NORMAL,0
TEL_0401,2026-08-05 12:12:00,OT_12,chlorine_mg_l,0.673,0.7,0.027,2,NORMAL,0
TEL_0305,2026-08-05 12:15:00,OT_04,chlorine_mg_l,0.768,0.7,0.068,1,NORMAL,0
TEL_0058,2026-08-05 13:16:00,OT_09,pressure_bar,4.761,4.0,0.761,3,NORMAL,0
TEL_1299,2026-08-05 13:24:00,OT_05,pressure_bar,4.029,4.0,0.029,0,NORMAL,0
TEL_0566,2026-08-05 13:43:00,OT_13,flow_lps,184.533,210.0,25.467,0,NORMAL,0
TEL_1300,2026-08-05 14:17:00,OT_07,flow_lps,191.064,210.0,18.936,2,NORMAL,0
TEL_0602,2026-08-05 14:35:00,OT_13,reservoir_level_pct,67.681,72.0,4.319,1,NORMAL,0
TEL_1387,2026-08-05 14:58:00,OT_08,pressure_bar,4.709,4.0,0.709,0,NORMAL,0
TEL_0895,2026-08-05 15:48:00,OT_15,flow_lps,183.386,210.0,26.614,0,NORMAL,0
TEL_0769,2026-08-05 16:51:00,OT_07,reservoir_level_pct,81.657,72.0,9.657,1,NORMAL,0
TEL_0943,2026-08-05 17:05:00,OT_15,pressure_bar,4.236,4.0,0.236,2,NORMAL,0
TEL_1100,2026-08-05 17:17:00,OT_05,reservoir_level_pct,61.982,72.0,10.018,0,NORMAL,0
TEL_0901,2026-08-05 17:42:00,OT_09,chlorine_mg_l,0.696,0.7,0.004,1,NORMAL,0
TEL_0551,2026-08-05 18:22:00,OT_03,pressure_bar,3.509,4.0,0.491,0,NORMAL,0
TEL_0999,2026-08-05 19:19:00,OT_09,flow_lps,222.8,210.0,12.8,1,NORMAL,0
TEL_0981,2026-08-05 19:20:00,OT_12,chlorine_mg_l,0.672,0.7,0.028,1,NORMAL,0
TEL_1420,2026-08-05 19:32:00,OT_01,flow_lps,235.013,210.0,25.013,4,NORMAL,0
TEL_0036,2026-08-05 19:51:00,OT_14,reservoir_level_pct,88.789,72.0,16.789,0,NORMAL,0
TEL_0525,2026-08-05 19:52:00,OT_15,flow_lps,253.085,210.0,43.085,1,NORMAL,0
TEL_1024,2026-08-05 20:08:00,OT_11,reservoir_level_pct,70.909,72.0,1.091,2,NORMAL,0
TEL_0787,2026-08-05 20:22:00,OT_08,flow_lps,232.109,210.0,22.109,3,NORMAL,0
TEL_1017,2026-08-05 20:50:00,OT_02,pressure_bar,3.946,4.0,0.054,1,NORMAL,0
TEL_0210,2026-08-05 21:04:00,OT_12,chlorine_mg_l,0.648,0.7,0.052,1,NORMAL,0
TEL_0989,2026-08-05 21:04:00,OT_04,pressure_bar,3.951,4.0,0.049,0,NORMAL,0
TEL_0557,2026-08-05 21:11:00,OT_10,pressure_bar,3.727,4.0,0.273,2,NORMAL,0
TEL_0443,2026-08-05 21:12:00,OT_04,pressure_bar,4.0,4.0,0.0,0,NORMAL,0
TEL_0903,2026-08-05 21:12:00,OT_07,flow_lps,215.173,210.0,5.173,2,NORMAL,0
TEL_1417,2026-08-05 21:35:00,OT_05,reservoir_level_pct,70.691,72.0,1.309,1,NORMAL,0
