session_id,timestamp,vendor_id,user_id,source_ip,device_id,geo_region,login_result,mfa_used,duration_min,bytes_out_mb,asset_id,off_hours,new_device,failed_attempts,unusual_asset,label_suspicious,hour,login_success,region_local,supervised_probability,anomaly_percentile,is_outlier,risk_score,risk_level,recommended_action
VPN_1675,2026-08-29 18:42:00,VENDOR_01,USER_01,198.51.100.5,DEV_EXT_994,Unknown,SUCCESS,0,74.7,69.24,OT_13,0,1,5,0,1,18,1,0,0.9978203348807214,93.35,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1445,2026-08-29 09:10:00,VENDOR_06,USER_06,198.51.100.212,DEV_EXT_388,Outside Namibia,FAIL,0,44.1,65.73,OT_01,0,1,5,1,1,9,0,0,0.9941586628881991,97.45,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0056,2026-08-29 01:22:00,VENDOR_05,USER_05,198.51.100.154,DEV_EXT_211,Outside Namibia,SUCCESS,1,144.2,52.85,OT_11,1,1,3,1,1,1,1,0,0.9579781992176015,96.05,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1721,2026-08-28 18:35:00,VENDOR_05,USER_05,198.51.100.197,DEV_EXT_129,Outside Namibia,SUCCESS,1,89.7,44.76,OT_05,0,1,4,1,1,18,1,0,0.9703718747267653,92.75,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0150,2026-08-28 13:47:00,VENDOR_05,USER_05,198.51.100.97,DEV_EXT_171,Outside Namibia,SUCCESS,0,80.5,44.03,OT_07,0,1,5,0,1,13,1,0,0.9898855090025331,92.65,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0807,2026-08-27 23:07:00,VENDOR_10,USER_10,198.51.100.91,DEV_EXT_273,Outside Namibia,SUCCESS,0,108.1,36.19,OT_03,1,1,6,0,1,23,1,0,0.9954334421327887,96.5,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0757,2026-08-26 21:14:00,VENDOR_11,USER_11,198.51.100.111,DEV_EXT_875,Outside Namibia,SUCCESS,1,104.7,36.09,OT_08,1,1,2,1,1,21,1,0,0.9835484406116815,94.2,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0708,2026-08-01 14:56:00,VENDOR_03,USER_03,198.51.100.199,DEV_EXT_572,Outside Namibia,FAIL,1,70.3,132.1,OT_03,0,1,4,0,1,14,0,0,0.9892213039528932,98.8,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0392,2026-08-01 14:50:00,VENDOR_11,USER_11,198.51.100.217,DEV_EXT_282,Outside Namibia,SUCCESS,0,50.6,74.66,OT_11,0,1,4,0,1,14,1,0,0.985499271356044,93.75,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1868,2026-08-25 20:32:00,VENDOR_12,USER_12,198.51.100.39,DEV_EXT_658,Unknown,SUCCESS,0,48.0,62.26,OT_03,1,1,5,0,1,20,1,0,0.9930807347876288,96.85,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0723,2026-08-25 17:54:00,VENDOR_03,USER_03,198.51.100.23,DEV_EXT_594,Outside Namibia,SUCCESS,0,63.5,54.31,OT_09,0,1,9,1,1,17,1,0,0.9956979861818572,96.15,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1685,2026-08-25 14:52:00,VENDOR_12,USER_12,198.51.100.147,DEV_EXT_924,Unknown,FAIL,0,92.9,17.92,OT_05,0,1,3,0,1,14,0,0,0.98375157765093,97.0,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0212,2026-08-25 11:39:00,VENDOR_06,USER_06,198.51.100.230,DEV_EXT_352,Outside Namibia,SUCCESS,0,79.2,376.13,OT_15,0,1,6,1,1,11,1,0,0.9934461917027073,98.2,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0803,2026-08-25 06:36:00,VENDOR_06,USER_06,198.51.100.108,DEV_EXT_445,Outside Namibia,SUCCESS,0,120.5,21.79,OT_06,0,1,3,1,1,6,1,0,0.9739481778824438,93.7,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1572,2026-08-24 20:36:00,VENDOR_02,USER_02,198.51.100.169,DEV_02_A,Outside Namibia,FAIL,0,101.0,86.58,OT_15,1,0,9,0,1,20,0,0,0.9806389671185296,100.0,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0019,2026-08-24 20:33:00,VENDOR_09,USER_09,198.51.100.100,DEV_EXT_599,Outside Namibia,FAIL,1,104.7,76.22,OT_11,1,1,4,1,1,20,0,0,0.9833500683142434,98.35,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1211,2026-08-24 11:04:00,VENDOR_08,USER_08,198.51.100.68,DEV_08_A,Unknown,SUCCESS,0,90.7,280.42,OT_12,0,0,5,1,1,11,1,0,0.9969250435474856,99.3,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0102,2026-08-23 16:59:00,VENDOR_03,USER_03,198.51.100.49,DEV_EXT_187,Outside Namibia,FAIL,1,112.4,75.36,OT_15,0,1,10,1,1,16,0,0,0.9955576298185548,99.85,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0828,2026-08-23 12:12:00,VENDOR_03,USER_03,198.51.100.170,DEV_EXT_291,Unknown,SUCCESS,1,80.2,15.51,OT_05,0,1,7,1,1,12,1,0,0.9888441511592336,94.5,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1717,2026-08-23 11:27:00,VENDOR_09,USER_09,198.51.100.230,DEV_EXT_171,Outside Namibia,SUCCESS,0,81.1,25.81,OT_11,0,1,6,0,1,11,1,0,0.983183698777008,93.1,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0938,2026-08-23 07:42:00,VENDOR_01,USER_01,198.51.100.26,DEV_EXT_552,Outside Namibia,FAIL,1,59.7,113.23,OT_02,0,1,6,0,1,7,0,0,0.9847308262525893,99.15,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1510,2026-08-22 21:29:00,VENDOR_11,USER_11,198.51.100.241,DEV_EXT_724,Outside Namibia,SUCCESS,1,114.9,58.17,OT_10,1,1,6,1,1,21,1,0,0.9765585368474904,96.35,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1242,2026-08-22 00:21:00,VENDOR_03,USER_03,198.51.100.137,DEV_EXT_228,Outside Namibia,FAIL,0,79.4,45.66,OT_08,1,1,4,1,1,0,0,0,0.9942600329883171,97.65,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1023,2026-08-01 22:52:00,VENDOR_12,USER_12,198.51.100.201,DEV_EXT_797,Outside Namibia,SUCCESS,0,110.9,31.94,OT_05,1,1,6,1,1,22,1,0,0.9932520782210048,95.2,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1275,2026-08-21 13:53:00,VENDOR_02,USER_02,198.51.100.180,DEV_EXT_319,Outside Namibia,FAIL,1,105.3,189.82,OT_01,0,1,2,1,1,13,0,0,0.9854985914082941,99.8,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1992,2026-08-20 22:19:00,VENDOR_12,USER_12,198.51.100.172,DEV_EXT_823,Outside Namibia,SUCCESS,1,104.9,140.11,OT_13,1,1,3,1,1,22,1,0,0.9857951209664382,97.05,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0138,2026-08-20 21:53:00,VENDOR_11,USER_11,198.51.100.167,DEV_EXT_226,Outside Namibia,SUCCESS,0,22.1,29.49,OT_01,1,1,4,0,1,21,1,0,0.8649531844771265,95.15,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0107,2026-08-20 15:45:00,VENDOR_11,USER_11,198.51.100.114,DEV_EXT_918,Unknown,FAIL,1,92.3,115.42,OT_04,0,1,6,1,1,15,0,0,0.9956873110715596,98.7,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1698,2026-08-20 04:25:00,VENDOR_03,USER_03,198.51.100.98,DEV_EXT_427,Unknown,SUCCESS,0,49.1,28.47,OT_01,1,1,6,1,1,4,1,0,0.9896680687068782,95.65,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0887,2026-08-19 12:52:00,VENDOR_03,USER_03,198.51.100.199,DEV_EXT_866,Outside Namibia,SUCCESS,1,74.3,352.32,OT_14,0,1,6,1,1,12,1,0,0.9956721344986588,98.6,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0401,2026-08-19 12:38:00,VENDOR_03,USER_03,198.51.100.174,DEV_EXT_411,Unknown,SUCCESS,0,114.7,46.65,OT_13,0,1,5,1,1,12,1,0,0.9932355199179201,93.05,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1874,2026-08-19 02:00:00,VENDOR_08,USER_08,198.51.100.3,DEV_EXT_870,Outside Namibia,SUCCESS,0,64.4,81.77,OT_07,1,1,4,1,1,2,1,0,0.9938195463865205,94.95,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1065,2026-08-18 23:53:00,VENDOR_08,USER_08,198.51.100.74,DEV_EXT_256,Unknown,SUCCESS,0,85.6,90.69,OT_03,1,1,2,0,1,23,1,0,0.9799309226472096,95.85,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1181,2026-08-18 19:25:00,VENDOR_06,USER_06,198.51.100.122,DEV_EXT_129,Outside Namibia,FAIL,0,70.4,23.57,OT_01,0,1,3,1,1,19,0,0,0.9920688908958087,96.25,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1372,2026-08-17 18:47:00,VENDOR_07,USER_07,198.51.100.195,DEV_EXT_847,Unknown,SUCCESS,0,70.9,12.15,OT_13,0,1,6,1,1,18,1,0,0.9884259291815393,92.7,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0453,2026-08-17 06:50:00,VENDOR_05,USER_05,198.51.100.253,DEV_EXT_502,Outside Namibia,SUCCESS,1,87.4,14.28,OT_08,0,1,3,1,1,6,1,0,0.9736532768259628,93.0,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0715,2026-08-16 22:32:00,VENDOR_08,USER_08,198.51.100.127,DEV_EXT_910,Outside Namibia,SUCCESS,0,121.0,96.87,OT_04,1,1,2,1,1,22,1,0,0.9914659294676537,97.8,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1355,2026-08-16 21:37:00,VENDOR_07,USER_07,198.51.100.184,DEV_07_A,Unknown,SUCCESS,0,57.5,62.15,OT_02,1,0,4,1,1,21,1,0,0.9662071497702658,97.3,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0306,2026-08-16 20:11:00,VENDOR_06,USER_06,198.51.100.223,DEV_EXT_368,Outside Namibia,SUCCESS,1,92.7,19.27,OT_06,1,1,4,0,1,20,1,0,0.9708225234602206,93.2,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1541,2026-08-16 18:52:00,VENDOR_02,USER_02,198.51.100.83,DEV_EXT_166,Outside Namibia,FAIL,0,66.0,62.4,OT_13,0,1,4,1,1,18,0,0,0.9967430648766995,96.75,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1938,2026-08-02 04:07:00,VENDOR_08,USER_08,198.51.100.196,DEV_08_A,Outside Namibia,SUCCESS,0,108.8,31.87,OT_06,1,0,5,1,1,4,1,0,0.9816597372448308,97.35,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1597,2026-08-02 00:24:00,VENDOR_09,USER_09,198.51.100.115,DEV_09_A,Outside Namibia,FAIL,0,114.9,85.96,OT_09,1,0,5,1,1,0,0,0,0.9889449499837591,99.9,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0607,2026-08-16 13:09:00,VENDOR_11,USER_11,198.51.100.138,DEV_EXT_529,Unknown,SUCCESS,0,110.6,18.62,OT_02,0,1,7,0,1,13,1,0,0.9895883081892243,96.0,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1791,2026-08-15 08:04:00,VENDOR_01,USER_01,198.51.100.56,DEV_EXT_588,Outside Namibia,FAIL,1,85.3,92.31,OT_08,0,1,5,0,1,8,0,0,0.9889686100737064,98.1,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1392,2026-08-14 20:25:00,VENDOR_01,USER_01,198.51.100.156,DEV_EXT_191,Outside Namibia,FAIL,0,97.1,64.36,OT_14,1,1,5,0,1,20,0,0,0.9921399063805554,98.5,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0092,2026-08-14 13:24:00,VENDOR_06,USER_06,198.51.100.156,DEV_EXT_429,Outside Namibia,SUCCESS,1,64.1,24.53,OT_07,0,1,7,1,1,13,1,0,0.987967135080168,94.6,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0241,2026-08-13 21:01:00,VENDOR_11,USER_11,198.51.100.245,DEV_EXT_921,Unknown,SUCCESS,1,66.7,44.14,OT_07,1,1,4,0,1,21,1,0,0.9837127475949575,93.45,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1464,2026-08-13 03:50:00,VENDOR_03,USER_03,198.51.100.51,DEV_EXT_120,Outside Namibia,SUCCESS,1,108.2,38.08,OT_12,1,1,5,0,1,3,1,0,0.9761317137351314,94.55,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0281,2026-08-13 02:11:00,VENDOR_07,USER_07,198.51.100.105,DEV_EXT_640,Outside Namibia,SUCCESS,1,65.9,32.71,OT_01,1,1,5,1,1,2,1,0,0.9759731921415324,94.05,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0110,2026-08-13 01:40:00,VENDOR_04,USER_04,198.51.100.6,DEV_EXT_886,Unknown,SUCCESS,1,60.8,60.82,OT_03,1,1,5,1,1,1,1,0,0.9878042723359072,95.35,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1175,2026-08-12 16:01:00,VENDOR_12,USER_12,198.51.100.117,DEV_EXT_791,Outside Namibia,SUCCESS,0,103.8,31.62,OT_14,0,1,5,1,1,16,1,0,0.9985296872226809,92.4,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1844,2026-08-12 15:56:00,VENDOR_12,USER_12,198.51.100.117,DEV_12_A,Outside Namibia,FAIL,0,103.0,58.93,OT_06,0,0,4,1,1,15,0,0,0.9909570756838311,98.9,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0327,2026-08-11 22:11:00,VENDOR_05,USER_05,198.51.100.120,DEV_EXT_208,Outside Namibia,FAIL,1,46.8,55.29,OT_13,1,1,4,0,1,22,0,0,0.9681704742016048,97.95,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1339,2026-08-11 13:55:00,VENDOR_10,USER_10,198.51.100.232,DEV_EXT_802,Outside Namibia,SUCCESS,0,80.8,34.66,OT_13,0,1,3,1,1,13,1,0,0.995886808444209,92.2,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0046,2026-08-11 00:47:00,VENDOR_09,USER_09,198.51.100.87,DEV_09_A,Unknown,SUCCESS,1,81.5,63.05,OT_10,1,0,5,1,1,0,1,0,0.9472957000481863,96.7,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1033,2026-08-10 22:15:00,VENDOR_10,USER_10,198.51.100.166,DEV_EXT_406,Unknown,SUCCESS,1,80.2,20.65,OT_07,1,1,4,1,1,22,1,0,0.9822317322663437,93.25,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0625,2026-08-10 20:52:00,VENDOR_04,USER_04,198.51.100.33,DEV_EXT_596,Outside Namibia,SUCCESS,0,113.8,68.88,OT_03,1,1,2,1,1,20,1,0,0.9930236058857493,95.5,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1964,2026-08-10 18:25:00,VENDOR_11,USER_11,198.51.100.87,DEV_EXT_748,Unknown,SUCCESS,0,148.1,28.4,OT_14,0,1,11,1,1,18,1,0,0.9980732864321573,98.4,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1247,2026-08-10 11:13:00,VENDOR_04,USER_04,198.51.100.46,DEV_EXT_448,Unknown,FAIL,0,81.4,46.31,OT_04,0,1,5,1,1,11,0,0,0.9967033111209781,95.8,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0878,2026-08-10 10:33:00,VENDOR_08,USER_08,198.51.100.18,DEV_EXT_470,Unknown,SUCCESS,0,103.6,94.36,OT_01,0,1,7,1,1,10,1,0,0.9892213260922859,95.45,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1920,2026-08-09 23:58:00,VENDOR_01,USER_01,198.51.100.117,DEV_EXT_602,Outside Namibia,FAIL,1,79.1,68.56,OT_10,1,1,4,0,1,23,0,0,0.9794320767020757,97.6,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0315,2026-08-09 22:36:00,VENDOR_06,USER_06,198.51.100.246,DEV_EXT_540,Outside Namibia,FAIL,0,76.4,16.18,OT_10,1,1,3,0,0,22,0,0,0.9261819565933064,98.3,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1799,2026-08-09 21:40:00,VENDOR_11,USER_11,198.51.100.66,DEV_EXT_623,Outside Namibia,SUCCESS,0,69.2,18.86,OT_05,1,1,3,1,1,21,1,0,0.9922676738280185,94.3,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1469,2026-08-09 21:07:00,VENDOR_09,USER_09,198.51.100.28,DEV_EXT_987,Outside Namibia,SUCCESS,1,117.4,26.63,OT_03,1,1,3,0,1,21,1,0,0.9857231979897485,93.65,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1296,2026-08-09 15:24:00,VENDOR_08,USER_08,198.51.100.122,DEV_08_A,Unknown,FAIL,0,84.9,46.8,OT_14,0,0,4,1,1,15,0,0,0.9922393524147591,98.0,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1716,2026-08-09 15:05:00,VENDOR_04,USER_04,198.51.100.2,DEV_EXT_144,Outside Namibia,SUCCESS,0,53.9,44.75,OT_10,0,1,4,1,1,15,1,0,0.9849097204726271,92.5,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0506,2026-08-09 12:38:00,VENDOR_06,USER_06,198.51.100.75,DEV_EXT_831,Outside Namibia,FAIL,0,81.3,32.11,OT_15,0,1,5,1,1,12,0,0,0.9951857291927291,95.75,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1554,2026-08-09 09:28:00,VENDOR_05,USER_05,198.51.100.28,DEV_EXT_131,Outside Namibia,SUCCESS,0,83.4,73.39,OT_04,0,1,8,0,1,9,1,0,0.9803025958982974,96.55,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0171,2026-08-09 09:07:00,VENDOR_03,USER_03,198.51.100.193,DEV_EXT_560,Outside Namibia,SUCCESS,1,116.5,85.99,OT_14,0,1,4,1,1,9,1,0,0.9762424937370722,95.4,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0152,2026-08-09 00:39:00,VENDOR_05,USER_05,198.51.100.169,DEV_EXT_982,Outside Namibia,SUCCESS,1,97.8,45.17,OT_15,1,1,4,0,1,0,1,0,0.9469114551065502,93.5,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0451,2026-08-08 23:19:00,VENDOR_12,USER_12,198.51.100.205,DEV_12_A,Unknown,SUCCESS,1,109.5,53.81,OT_06,1,0,4,1,1,23,1,0,0.984294904467408,96.8,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0406,2026-08-02 12:43:00,VENDOR_10,USER_10,198.51.100.15,DEV_EXT_683,Unknown,SUCCESS,0,86.5,38.64,OT_09,0,1,6,1,1,12,1,0,0.9997415740489746,92.35,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1235,2026-08-08 16:27:00,VENDOR_08,USER_08,198.51.100.61,DEV_08_A,Outside Namibia,SUCCESS,0,142.5,116.67,OT_12,0,0,9,1,1,16,1,0,0.9950731916956335,99.95,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0998,2026-08-08 06:19:00,VENDOR_07,USER_07,198.51.100.119,DEV_EXT_665,Outside Namibia,SUCCESS,0,84.1,30.77,OT_06,0,1,5,1,1,6,1,0,0.9877138529289573,92.1,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1095,2026-08-08 03:40:00,VENDOR_02,USER_02,198.51.100.225,DEV_EXT_802,Unknown,FAIL,0,88.2,57.12,OT_12,1,1,2,1,1,3,0,0,0.9941369138352727,98.25,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1877,2026-08-07 17:05:00,VENDOR_11,USER_11,198.51.100.139,DEV_EXT_910,Outside Namibia,FAIL,0,131.7,114.24,OT_02,0,1,4,0,1,17,0,0,0.9915027010955083,99.6,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1149,2026-08-07 15:21:00,VENDOR_08,USER_08,198.51.100.160,DEV_EXT_366,Outside Namibia,SUCCESS,0,47.8,48.91,OT_05,0,1,3,1,1,15,1,0,0.9704344379907797,93.15,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0514,2026-08-07 09:50:00,VENDOR_10,USER_10,198.51.100.87,DEV_EXT_533,Unknown,SUCCESS,0,113.5,58.45,OT_09,0,1,3,0,1,9,1,0,0.989228872594251,93.55,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0089,2026-08-07 06:47:00,VENDOR_01,USER_01,198.51.100.228,DEV_01_A,Outside Namibia,SUCCESS,0,86.3,147.59,OT_12,0,0,4,1,1,6,1,0,0.9796136395878049,97.5,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1346,2026-08-06 22:15:00,VENDOR_11,USER_11,198.51.100.59,DEV_EXT_764,Outside Namibia,SUCCESS,0,92.4,420.0,OT_03,1,1,4,1,1,22,1,0,0.998696571221081,99.45,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1690,2026-08-06 21:12:00,VENDOR_01,USER_01,198.51.100.112,DEV_EXT_286,Unknown,SUCCESS,1,104.4,25.59,OT_03,1,1,5,0,1,21,1,0,0.9902876894753267,94.25,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0997,2026-08-06 00:15:00,VENDOR_01,USER_01,198.51.100.170,DEV_EXT_438,Outside Namibia,FAIL,0,112.8,68.63,OT_14,1,1,3,1,1,0,0,0,0.9862132911827102,98.55,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0849,2026-08-04 21:37:00,VENDOR_02,USER_02,198.51.100.251,DEV_EXT_787,Outside Namibia,SUCCESS,1,91.4,110.2,OT_08,1,1,3,1,1,21,1,0,0.9827251188026491,95.7,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1569,2026-08-04 12:47:00,VENDOR_04,USER_04,198.51.100.210,DEV_EXT_659,Outside Namibia,SUCCESS,1,84.2,22.22,OT_13,0,1,7,1,1,12,1,0,0.9865151363839955,94.35,1,100.0,High,Investigate and block/isolate if confirmed
VPN_1576,2026-08-04 00:42:00,VENDOR_03,USER_03,198.51.100.37,DEV_EXT_151,Outside Namibia,SUCCESS,1,112.6,67.6,OT_04,1,1,6,1,1,0,1,0,0.9849626805438965,95.95,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0784,2026-08-03 17:40:00,VENDOR_02,USER_02,198.51.100.145,DEV_EXT_673,Outside Namibia,FAIL,1,80.7,23.98,OT_05,0,1,8,1,1,17,0,0,0.9934388729499587,98.75,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0234,2026-08-03 09:01:00,VENDOR_04,USER_04,198.51.100.211,DEV_EXT_738,Outside Namibia,SUCCESS,1,70.7,16.61,OT_15,0,1,7,1,1,9,1,0,0.980074277772809,94.7,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0774,2026-08-02 19:31:00,VENDOR_08,USER_08,198.51.100.46,DEV_EXT_948,Outside Namibia,SUCCESS,1,54.4,164.19,OT_14,0,1,3,0,1,19,1,0,0.9710040016844013,96.2,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0355,2026-08-01 03:26:00,VENDOR_05,USER_05,198.51.100.242,DEV_EXT_983,Outside Namibia,FAIL,0,48.7,82.6,OT_01,1,1,4,1,1,3,0,0,0.9923309068304712,98.65,1,100.0,High,Investigate and block/isolate if confirmed
VPN_0975,2026-08-01 00:48:00,VENDOR_04,USER_04,198.51.100.45,DEV_EXT_756,Outside Namibia,FAIL,1,89.5,80.01,OT_11,1,1,7,0,1,0,0,0,0.9703960785732004,99.2,1,100.0,High,Investigate and block/isolate if confirmed
