session_id,timestamp,vendor_id,user_id,asset_id,label_suspicious,anomaly_score,anomaly_percentile,is_outlier
VPN_0784,2026-08-03 17:40:00,VENDOR_02,USER_02,OT_05,1,0.7125290100863273,98.75,1
VPN_0107,2026-08-20 15:45:00,VENDOR_11,USER_11,OT_04,1,0.7123949081764421,98.7,1
VPN_0355,2026-08-01 03:26:00,VENDOR_05,USER_05,OT_01,1,0.7121668917356427,98.65,1
VPN_0887,2026-08-19 12:52:00,VENDOR_03,USER_03,OT_14,1,0.7111356974036237,98.6,1
VPN_0997,2026-08-06 00:15:00,VENDOR_01,USER_01,OT_14,1,0.711004038795366,98.55,1
VPN_1392,2026-08-14 20:25:00,VENDOR_01,USER_01,OT_14,1,0.71043011890745,98.5,1
VPN_1946,2026-08-29 13:21:00,VENDOR_10,USER_10,OT_11,1,0.7103112885899325,98.45,1
VPN_1964,2026-08-10 18:25:00,VENDOR_11,USER_11,OT_14,1,0.7079124140054874,98.4,1
VPN_0019,2026-08-24 20:33:00,VENDOR_09,USER_09,OT_11,1,0.707364731703477,98.35,1
VPN_0315,2026-08-09 22:36:00,VENDOR_06,USER_06,OT_10,0,0.7070056375384283,98.3,1
VPN_1095,2026-08-08 03:40:00,VENDOR_02,USER_02,OT_12,1,0.7068187569944343,98.25,1
VPN_0212,2026-08-25 11:39:00,VENDOR_06,USER_06,OT_15,1,0.7043746049356647,98.2,1
VPN_0494,2026-08-11 02:16:00,VENDOR_11,USER_11,OT_10,1,0.7042889092207975,98.15,1
VPN_1791,2026-08-15 08:04:00,VENDOR_01,USER_01,OT_08,1,0.7042745791746345,98.1,1
VPN_0116,2026-08-27 15:03:00,VENDOR_11,USER_11,OT_12,1,0.703410405762795,98.05,1
VPN_1296,2026-08-09 15:24:00,VENDOR_08,USER_08,OT_14,1,0.7032400838722196,98.0,1
VPN_0327,2026-08-11 22:11:00,VENDOR_05,USER_05,OT_13,1,0.7029138881471746,97.95,1
VPN_0874,2026-08-15 09:51:00,VENDOR_09,USER_09,OT_10,1,0.7009730972779655,97.9,1
VPN_1031,2026-08-30 08:51:00,VENDOR_04,USER_04,OT_12,1,0.7006008211239647,97.85,1
VPN_0715,2026-08-16 22:32:00,VENDOR_08,USER_08,OT_04,1,0.6997504817860888,97.8,1
VPN_1115,2026-08-10 07:41:00,VENDOR_04,USER_04,OT_06,1,0.6992853439806604,97.75,1
VPN_0534,2026-08-07 20:21:00,VENDOR_01,USER_01,OT_13,1,0.6991621560595387,97.7,1
VPN_1242,2026-08-22 00:21:00,VENDOR_03,USER_03,OT_08,1,0.6991168956462107,97.65,1
VPN_1920,2026-08-09 23:58:00,VENDOR_01,USER_01,OT_10,1,0.6989073717980454,97.6,1
VPN_1097,2026-08-03 11:47:00,VENDOR_12,USER_12,OT_14,1,0.6984284835537001,97.55,1
VPN_0089,2026-08-07 06:47:00,VENDOR_01,USER_01,OT_12,1,0.6978184252871699,97.5,1
VPN_1445,2026-08-29 09:10:00,VENDOR_06,USER_06,OT_01,1,0.6972634703737156,97.45,1
VPN_0649,2026-08-28 07:53:00,VENDOR_05,USER_05,OT_06,1,0.6971857162100824,97.4,1
VPN_1938,2026-08-02 04:07:00,VENDOR_08,USER_08,OT_06,1,0.6963006952351348,97.35,1
VPN_1355,2026-08-16 21:37:00,VENDOR_07,USER_07,OT_02,1,0.6962464172954578,97.3,1
VPN_1887,2026-08-06 13:39:00,VENDOR_05,USER_05,OT_12,1,0.6959541822109893,97.25,1
VPN_1010,2026-08-16 10:59:00,VENDOR_05,USER_05,OT_04,0,0.695169913346662,97.2,1
VPN_0055,2026-08-02 15:50:00,VENDOR_08,USER_08,OT_07,1,0.693634269669907,97.15,1
VPN_0989,2026-08-25 11:26:00,VENDOR_05,USER_05,OT_10,1,0.6934509235369114,97.1,1
VPN_1992,2026-08-20 22:19:00,VENDOR_12,USER_12,OT_13,1,0.6905585831882859,97.05,1
VPN_1685,2026-08-25 14:52:00,VENDOR_12,USER_12,OT_05,1,0.6897579529458034,97.0,1
VPN_1913,2026-08-21 09:46:00,VENDOR_08,USER_08,OT_04,1,0.6895289525373035,96.95,1
VPN_1264,2026-08-02 14:49:00,VENDOR_02,USER_02,OT_01,1,0.688797612147713,96.9,1
VPN_1868,2026-08-25 20:32:00,VENDOR_12,USER_12,OT_03,1,0.687755418074186,96.85,1
VPN_0451,2026-08-08 23:19:00,VENDOR_12,USER_12,OT_06,1,0.687617278650398,96.8,1
VPN_1541,2026-08-16 18:52:00,VENDOR_02,USER_02,OT_13,1,0.6875797227046422,96.75,1
VPN_0046,2026-08-11 00:47:00,VENDOR_09,USER_09,OT_10,1,0.6875562561067048,96.7,1
VPN_0767,2026-08-14 18:06:00,VENDOR_08,USER_08,OT_13,1,0.6874777008504679,96.65,1
VPN_0192,2026-08-19 01:27:00,VENDOR_09,USER_09,OT_11,1,0.6872320995835507,96.6,1
VPN_1554,2026-08-09 09:28:00,VENDOR_05,USER_05,OT_04,1,0.6870931314763863,96.55,1
VPN_0807,2026-08-27 23:07:00,VENDOR_10,USER_10,OT_03,1,0.6864640599921205,96.5,1
VPN_1318,2026-08-10 11:15:00,VENDOR_03,USER_03,OT_01,1,0.6864105488365324,96.45,1
VPN_1390,2026-08-09 12:41:00,VENDOR_06,USER_06,OT_03,1,0.6853792887738237,96.4,1
VPN_1510,2026-08-22 21:29:00,VENDOR_11,USER_11,OT_10,1,0.685341073248858,96.35,1
VPN_0591,2026-08-31 08:50:00,VENDOR_12,USER_12,OT_03,1,0.6851808148919235,96.3,1
VPN_1181,2026-08-18 19:25:00,VENDOR_06,USER_06,OT_01,1,0.684887614616421,96.25,1
VPN_0774,2026-08-02 19:31:00,VENDOR_08,USER_08,OT_14,1,0.6845134235562392,96.2,1
VPN_0723,2026-08-25 17:54:00,VENDOR_03,USER_03,OT_09,1,0.6831616283166171,96.15,1
VPN_0595,2026-08-29 10:09:00,VENDOR_05,USER_05,OT_06,1,0.683155956805215,96.1,1
VPN_0056,2026-08-29 01:22:00,VENDOR_05,USER_05,OT_11,1,0.6821957908313718,96.05,1
VPN_0607,2026-08-16 13:09:00,VENDOR_11,USER_11,OT_02,1,0.6815850175620665,96.0,1
VPN_1576,2026-08-04 00:42:00,VENDOR_03,USER_03,OT_04,1,0.6809757183428847,95.95,1
VPN_1356,2026-08-04 09:19:00,VENDOR_04,USER_04,OT_11,1,0.6808168655853256,95.9,1
VPN_1065,2026-08-18 23:53:00,VENDOR_08,USER_08,OT_03,1,0.6806679734080281,95.85,1
VPN_1247,2026-08-10 11:13:00,VENDOR_04,USER_04,OT_04,1,0.6805850867405538,95.8,1
VPN_0506,2026-08-09 12:38:00,VENDOR_06,USER_06,OT_15,1,0.6805471385317303,95.75,1
VPN_0849,2026-08-04 21:37:00,VENDOR_02,USER_02,OT_08,1,0.6804251643062579,95.7,1
VPN_1698,2026-08-20 04:25:00,VENDOR_03,USER_03,OT_01,1,0.6799534674897274,95.65,1
VPN_1386,2026-08-18 12:27:00,VENDOR_01,USER_01,OT_12,1,0.679827332307673,95.6,1
VPN_1205,2026-08-29 22:59:00,VENDOR_06,USER_06,OT_15,1,0.6794452678176558,95.55,1
VPN_0625,2026-08-10 20:52:00,VENDOR_04,USER_04,OT_03,1,0.6790825108837181,95.5,1
VPN_0878,2026-08-10 10:33:00,VENDOR_08,USER_08,OT_01,1,0.6780073243537454,95.45,1
VPN_0171,2026-08-09 09:07:00,VENDOR_03,USER_03,OT_14,1,0.6769830689924539,95.4,1
VPN_0110,2026-08-13 01:40:00,VENDOR_04,USER_04,OT_03,1,0.676331155824272,95.35,1
VPN_1271,2026-08-28 12:04:00,VENDOR_09,USER_09,OT_05,1,0.6757337724525774,95.3,1
VPN_0210,2026-08-29 00:07:00,VENDOR_12,USER_12,OT_04,1,0.6753004999618853,95.25,1
VPN_1023,2026-08-01 22:52:00,VENDOR_12,USER_12,OT_05,1,0.6748828116250135,95.2,1
VPN_0138,2026-08-20 21:53:00,VENDOR_11,USER_11,OT_01,1,0.6739436298949834,95.15,1
VPN_0827,2026-08-19 16:51:00,VENDOR_04,USER_04,OT_02,1,0.6739214042140034,95.1,1
VPN_1081,2026-08-15 06:05:00,VENDOR_08,USER_08,OT_14,1,0.6738312970572415,95.05,1
